generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9800452541582336,0.0305370886247176,0.00791397661889378,100,59,2.0,4,5,0.33132264827145613,"[np.int64(28), np.int64(24), np.int64(20), np.int64(13), np.int64(15)]"
1,0.9774039856388788,0.041758092832190445,0.008842421824030949,100,65,1.0,4,5,0.4295797706824612,"[np.int64(16), np.int64(18), np.int64(14), np.int64(36), np.int64(16)]"
2,0.9786376036138366,0.04240266278967596,0.008321073965583776,100,65,1.0,6,5,0.48016366704682917,"[np.int64(9), np.int64(38), np.int64(23), np.int64(17), np.int64(13)]"
3,0.9783124101584514,0.028558624374371476,0.008636768779948099,100,56,2.0,4,5,0.6089397683864844,"[np.int64(42), np.int64(16), np.int64(17), np.int64(15), np.int64(10)]"
4,0.9780140154582385,0.06236552623714127,0.008136168924879223,100,58,1.5,4,5,0.6710020711811181,"[np.int64(39), np.int64(13), np.int64(29), np.int64(11), np.int64(8)]"
5,0.977756265069078,0.0926726174778944,0.007298460478413785,100,66,1.0,5,5,0.740374097364776,"[np.int64(34), np.int64(12), np.int64(39), np.int64(7), np.int64(8)]"
6,0.9759364767356428,0.08630330527010613,0.008267494150535635,100,65,1.0,4,5,0.8172029654415109,"[np.int64(41), np.int64(16), np.int64(25), np.int64(10), np.int64(8)]"
7,0.9734525457635114,0.1140424182741365,0.008172501124685516,100,63,1.0,5,5,0.8864741789397849,"[np.int64(17), np.int64(17), np.int64(12), np.int64(42), np.int64(12)]"
8,0.9725993096537152,0.15861056597400136,0.006089938888886587,100,62,1.0,4,5,0.9574472804516344,"[np.int64(56), np.int64(11), np.int64(15), np.int64(12), np.int64(6)]"
9,0.9709945839663845,0.17529573239338506,0.005634637578712258,100,67,1.0,4,5,0.9888509972484915,"[np.int64(60), np.int64(17), np.int64(8), np.int64(11), np.int64(4)]"
10,0.9695896511735321,0.21742037633009942,0.0029071931501549924,100,64,1.0,4,5,0.9899999976054998,"[np.int64(74), np.int64(16), np.int64(4), np.int64(5), np.int64(1)]"
11,0.97057925346817,0.1980446270889243,0.0041094449664167195,100,63,1.0,5,4,0.9999999973770471,"[np.int64(69), np.int64(13), np.int64(15), np.int64(3)]"
12,0.9714187807529879,0.17784063251809715,0.005283668149995974,100,60,1.5,4,4,0.9999999965307669,"[np.int64(61), np.int64(23), np.int64(14), np.int64(2)]"
13,0.9705838439280005,0.19118551922243193,0.004643540852066322,100,63,1.0,6,4,0.9999999964167136,"[np.int64(66), np.int64(21), np.int64(10), np.int64(3)]"
14,0.9698052508170667,0.19322954869552386,0.004809559954242512,100,65,1.0,4,4,0.999999995942535,"[np.int64(4), np.int64(64), np.int64(22), np.int64(10)]"
15,0.9714440750265014,0.17745169391555124,0.005305101049240777,100,58,1.0,5,4,0.9999999946160878,"[np.int64(56), np.int64(36), np.int64(5), np.int64(3)]"
16,0.972182570089463,0.1626349055309963,0.006004991379325591,100,60,1.0,5,3,0.999999994958248,"[np.int64(49), np.int64(42), np.int64(9)]"
17,0.9694018751266547,0.18798864111583255,0.005371415024744147,100,58,1.0,5,3,0.9999999967588736,"[np.int64(27), np.int64(61), np.int64(12)]"
18,0.9691742403357293,0.17249128862093754,0.006584625868220367,100,62,1.0,5,3,0.999999996158665,"[np.int64(19), np.int64(32), np.int64(49)]"
19,0.9692417869536583,0.1740878057728102,0.006446795724873085,100,62,1.0,4,3,0.9999999956784982,"[np.int64(36), np.int64(49), np.int64(15)]"
20,0.9684833374221793,0.18268339520129548,0.006146719151883405,100,62,1.0,5,3,0.9999999957985399,"[np.int64(35), np.int64(52), np.int64(13)]"
21,0.9664633918897347,0.20758552819735748,0.005036574726762975,100,64,1.0,4,3,0.9999999968789155,"[np.int64(26), np.int64(64), np.int64(10)]"
22,0.9650454433373702,0.21815423555069308,0.004723297656060985,100,62,1.0,5,3,0.9999999973590822,"[np.int64(67), np.int64(22), np.int64(11)]"
23,0.9620453835359354,0.2431732470172544,0.003655631429316746,100,65,1.0,4,3,0.9999999989196247,"[np.int64(72), np.int64(19), np.int64(9)]"
24,0.9610399019822856,0.2483437240443647,0.0035653073843156364,100,64,1.0,3,3,0.9999999990396664,"[np.int64(72), np.int64(20), np.int64(8)]"
25,0.9601886665730828,0.2562343205829351,0.0031236507313353486,100,58,1.0,5,3,0.9999999990396663,"[np.int64(77), np.int64(15), np.int64(8)]"
26,0.9593254883327412,0.25464463868163784,0.003646017750424569,100,52,2.0,5,3,0.9999999990396663,"[np.int64(71), np.int64(21), np.int64(8)]"
27,0.958082382745505,0.26313564456907895,0.003284426057143917,100,66,1.0,3,3,0.9999999992797498,"[np.int64(73), np.int64(21), np.int64(6)]"
28,0.9569259783108258,0.2724586427880647,0.0027684247465336854,100,63,1.0,4,3,0.9999999993997915,"[np.int64(78), np.int64(17), np.int64(5)]"
29,0.9555118681946599,0.2726290065327732,0.003349728744001093,100,62,1.0,4,4,0.9899999993997914,"[np.int64(71), np.int64(23), np.int64(5), np.int64(1)]"
30,0.9533328562498212,0.27129524713352315,0.004434512031270631,100,67,1.0,4,4,0.9999999991597079,"[np.int64(60), np.int64(29), np.int64(7), np.int64(4)]"
31,0.952799989282861,0.2746952292099833,0.004277542540658505,100,60,1.0,5,4,0.9999999995198331,"[np.int64(51), np.int64(42), np.int64(4), np.int64(3)]"
32,0.9523392732718192,0.2669507178003456,0.005322922350010334,100,62,1.0,5,4,0.9987347357145113,"[np.int64(48), np.int64(40), np.int64(8), np.int64(4)]"
33,0.9531768277257641,0.26351058879364664,0.005320069324063645,100,61,1.0,4,4,0.9987347355942627,"[np.int64(55), np.int64(9), np.int64(2), np.int64(34)]"
34,0.9535130145995189,0.26253175463946804,0.005264033243434254,100,68,1.0,5,4,0.999999998766836,"[np.int64(49), np.int64(39), np.int64(10), np.int64(2)]"
35,0.9522600308228638,0.2683122114165522,0.005178550224892623,100,63,1.0,4,3,0.9999999985594994,"[np.int64(54), np.int64(34), np.int64(12)]"
36,0.9530930304252623,0.254912332128953,0.006237215925295107,100,66,1.0,4,3,0.9999999973590823,"[np.int64(51), np.int64(22), np.int64(27)]"
37,0.9525885529184166,0.25871352273016224,0.0060632207479745445,100,65,1.0,4,4,0.9999999941091683,"[np.int64(52), np.int64(25), np.int64(20), np.int64(3)]"
38,0.9508900082482705,0.2681988700769156,0.005775261229450766,100,67,1.0,5,3,0.9999999972390406,"[np.int64(20), np.int64(57), np.int64(23)]"
39,0.9477814466316761,0.2918510608855546,0.004431960932245403,100,62,1.0,5,3,0.9999999981993742,"[np.int64(68), np.int64(15), np.int64(17)]"
40,0.9464449411615212,0.29913200288520975,0.004136576446271019,100,59,1.0,5,3,0.9999999981993741,"[np.int64(15), np.int64(71), np.int64(14)]"
41,0.9486665792325851,0.27672714890129024,0.0057880498995652434,100,64,1.0,5,3,0.9999999965187902,"[np.int64(29), np.int64(57), np.int64(14)]"
42,0.9475362283935027,0.28591495044146903,0.005233730244707477,100,58,1.0,5,3,0.9999999962787068,"[np.int64(61), np.int64(31), np.int64(8)]"
43,0.9494815737619078,0.2812995650517679,0.004943438335082876,100,57,1.0,4,3,0.9899999944780812,"[np.int64(46), np.int64(53), np.int64(1)]"
