generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.6791834356780267,0.04796648359313831,0.006108312004256933,100,55,2.0,4,5,0.31107833015478614,"[np.int64(14), np.int64(23), np.int64(28), np.int64(24), np.int64(11)]"
1,0.6940461277176451,0.02882917516451922,0.005970753552366336,100,62,1.0,5,5,0.39624872964167873,"[np.int64(21), np.int64(22), np.int64(26), np.int64(18), np.int64(13)]"
2,0.7023833112356641,0.022643561192691224,0.005827043447110299,100,64,1.0,3,5,0.43058394421580654,"[np.int64(14), np.int64(11), np.int64(31), np.int64(18), np.int64(26)]"
3,0.7055646261590401,0.03404839352427841,0.005539700432664897,100,66,1.0,6,5,0.5396762542649967,"[np.int64(16), np.int64(22), np.int64(27), np.int64(17), np.int64(18)]"
4,0.7096792996798362,0.05092139552951018,0.005080993531809996,100,61,1.0,5,5,0.6271034392663574,"[np.int64(22), np.int64(24), np.int64(24), np.int64(14), np.int64(16)]"
5,0.7084277569188205,0.056550891482979,0.004998734129731444,100,67,1.0,4,5,0.6682544388280295,"[np.int64(14), np.int64(16), np.int64(27), np.int64(27), np.int64(16)]"
6,0.7214787869617794,0.06322968576142211,0.004534792874632005,100,66,1.0,3,5,0.744557525478701,"[np.int64(31), np.int64(21), np.int64(9), np.int64(21), np.int64(18)]"
7,0.7173408393039366,0.07939042858585994,0.004127932130598646,100,66,1.0,5,5,0.8364420778408183,"[np.int64(22), np.int64(32), np.int64(25), np.int64(4), np.int64(17)]"
8,0.7107996236288063,0.08771617004610885,0.004005116778600076,100,65,1.0,4,5,0.8268713808217231,"[np.int64(27), np.int64(28), np.int64(26), np.int64(2), np.int64(17)]"
9,0.7154015163923666,0.09565339188374844,0.0035937663829961886,100,62,1.0,4,5,0.9020798704893968,"[np.int64(41), np.int64(18), np.int64(17), np.int64(20), np.int64(4)]"
10,0.7119325349898429,0.10796854044216565,0.00315708709093081,100,59,1.0,4,5,0.9248848144882744,"[np.int64(12), np.int64(36), np.int64(31), np.int64(18), np.int64(3)]"
11,0.7071590441793215,0.1190929569782342,0.002741796910489742,100,64,1.0,3,5,0.9778425853699804,"[np.int64(38), np.int64(36), np.int64(14), np.int64(7), np.int64(5)]"
12,0.7022390368989677,0.1313788359154956,0.002216609767093833,100,68,1.0,4,4,1.0,"[np.int64(38), np.int64(40), np.int64(17), np.int64(5)]"
13,0.6770251341591649,0.14305299288368503,0.002173675415819286,100,62,1.0,5,4,1.0,"[np.int64(46), np.int64(33), np.int64(15), np.int64(6)]"
14,0.6534408548917368,0.1522518525101004,0.0022179504179854386,100,67,1.0,5,4,1.0,"[np.int64(40), np.int64(53), np.int64(5), np.int64(2)]"
15,0.6394882503451005,0.15753739353449261,0.002256988664383665,100,65,1.0,4,4,1.0,"[np.int64(45), np.int64(44), np.int64(9), np.int64(2)]"
16,0.61494421971091,0.16800213155743626,0.0022263954916850715,100,66,1.0,4,3,1.0,"[np.int64(38), np.int64(47), np.int64(15)]"
17,0.6079021957002704,0.17265657025871378,0.0021021479964497118,100,60,1.0,4,3,1.0,"[np.int64(31), np.int64(33), np.int64(36)]"
18,0.5804562318181674,0.18252130536173722,0.002179768527395311,100,66,1.0,4,3,1.0,"[np.int64(37), np.int64(39), np.int64(24)]"
19,0.5682924336905343,0.18860016955710926,0.002077737943487451,100,62,1.0,4,3,1.0,"[np.int64(41), np.int64(29), np.int64(30)]"
20,0.5526284883022856,0.1962215388046254,0.001941449551366481,100,60,2.0,4,3,1.0,"[np.int64(37), np.int64(40), np.int64(23)]"
21,0.5456221414242047,0.2013108886220692,0.0017151433198403705,100,62,1.0,3,3,1.0,"[np.int64(37), np.int64(49), np.int64(14)]"
22,0.5384635493463239,0.2075289070625839,0.001366985509831642,100,63,1.0,4,3,1.0,"[np.int64(60), np.int64(34), np.int64(6)]"
23,0.5172516883027083,0.21595961973198372,0.0012838855221924263,100,67,1.0,4,3,1.0,"[np.int64(60), np.int64(36), np.int64(4)]"
24,0.4990659787218535,0.22409177461840216,0.0011071053431089412,100,57,1.0,4,3,0.99,"[np.int64(64), np.int64(35), np.int64(1)]"
25,0.4752878920440617,0.23339031897921156,0.0010571230857973637,100,62,1.0,4,3,1.0,"[np.int64(28), np.int64(70), np.int64(2)]"
26,0.45269704020871626,0.2423171920380894,0.000973884448358554,100,63,1.0,4,3,0.99,"[np.int64(72), np.int64(27), np.int64(1)]"
27,0.43383232479776834,0.25195531804204113,0.0006798693576614641,100,68,1.0,5,2,1.0,"[np.int64(82), np.int64(18)]"
28,0.40928281735273486,0.2613361774919487,0.000649929311422986,100,61,1.0,5,2,1.0,"[np.int64(83), np.int64(17)]"
29,0.3870357640556888,0.2703627712079788,0.0005912977847980683,100,64,1.0,5,3,1.0,"[np.int64(83), np.int64(15), np.int64(2)]"
30,0.36087513750199735,0.27999007865323694,0.000651886092545966,100,62,1.0,4,2,0.995194396107241,"[np.int64(83), np.int64(17)]"
31,0.33903850930990326,0.2895996878426748,0.0005586696490569772,100,65,1.0,4,3,1.0,"[np.int64(2), np.int64(14), np.int64(84)]"
32,0.318269037562495,0.29995023308142316,0.0003435549585794176,100,73,1.0,4,3,1.0,"[np.int64(90), np.int64(8), np.int64(2)]"
33,0.29226705030510497,0.3094432959675239,0.0005566519712886816,100,67,1.0,3,2,0.995194396107241,"[np.int64(86), np.int64(14)]"
34,0.27013913800066947,0.31970628656051314,0.0005209568045495361,100,64,1.0,4,2,1.0,"[np.int64(87), np.int64(13)]"
35,0.25070111048883353,0.32997038598033823,0.00037724458260483633,100,66,1.0,4,2,1.0,"[np.int64(91), np.int64(9)]"
36,0.233901516809678,0.34092287932012794,2.384301271151398e-32,100,65,1.0,3,1,,[100]
37,0.21453760376776174,0.3509154025731295,2.384301271151398e-32,100,64,1.0,3,1,,[100]
