generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9937022894254851,0.04344057534293857,0.009741059432521987,100,57,2.0,3,5,0.28351969795356063,"[np.int64(25), np.int64(9), np.int64(19), np.int64(20), np.int64(27)]"
1,0.9930761950341706,0.040900567738536724,0.010793077356590427,100,64,1.0,4,5,0.35976360328230333,"[np.int64(27), np.int64(31), np.int64(11), np.int64(14), np.int64(17)]"
2,0.9924485813714119,0.030993561421787386,0.011947858893764537,100,61,1.0,4,5,0.37087869665897844,"[np.int64(29), np.int64(27), np.int64(11), np.int64(23), np.int64(10)]"
3,0.9924961064094966,0.032621589263594944,0.011848686488781188,100,63,1.0,4,5,0.48694374793055917,"[np.int64(7), np.int64(35), np.int64(18), np.int64(25), np.int64(15)]"
4,0.9932488721439442,0.06042430893039273,0.010117129288310472,100,65,1.0,5,2,0.4665015982890903,"[np.int64(63), np.int64(37)]"
5,0.992745916400278,0.06274994808315734,0.010871698994027129,100,62,1.0,6,5,0.54343158596968,"[np.int64(16), np.int64(32), np.int64(30), np.int64(10), np.int64(12)]"
6,0.9923872218464196,0.10663803551074967,0.009962582488781457,100,61,1.0,5,5,0.63167897720048,"[np.int64(29), np.int64(11), np.int64(12), np.int64(38), np.int64(10)]"
7,0.9917324173050213,0.12826989104078845,0.010002419954697275,100,63,1.0,4,5,0.6741094452956606,"[np.int64(46), np.int64(24), np.int64(5), np.int64(14), np.int64(11)]"
8,0.9902542521268899,0.1644851959833499,0.010273515873169815,100,59,1.0,5,5,0.7645644579057916,"[np.int64(16), np.int64(45), np.int64(20), np.int64(10), np.int64(9)]"
9,0.9896168715911557,0.18012850511849177,0.010225373694020202,100,67,1.0,5,5,0.8227897211021863,"[np.int64(20), np.int64(39), np.int64(8), np.int64(24), np.int64(9)]"
10,0.9906036470441765,0.17691578993366594,0.008861893601587,100,60,1.0,6,5,0.8222693364749531,"[np.int64(23), np.int64(18), np.int64(35), np.int64(8), np.int64(16)]"
11,0.9907988733359826,0.1641036089401774,0.009418303729022864,100,62,1.0,4,5,0.7748714771917322,"[np.int64(35), np.int64(24), np.int64(11), np.int64(15), np.int64(15)]"
12,0.9912950186469057,0.16469698212048112,0.008577150045985452,100,64,1.0,4,5,0.7822880897243338,"[np.int64(17), np.int64(22), np.int64(21), np.int64(35), np.int64(5)]"
13,0.9909484973928799,0.1773144547970171,0.008271819168632828,100,65,1.0,4,5,0.8206439596232795,"[np.int64(40), np.int64(18), np.int64(18), np.int64(16), np.int64(8)]"
14,0.9904117447105508,0.1940270364971536,0.007896093938103959,100,64,1.0,4,5,0.8272803580768392,"[np.int64(17), np.int64(40), np.int64(16), np.int64(9), np.int64(18)]"
15,0.9896466905539874,0.1980420633306603,0.008815675988724993,100,67,1.0,4,5,0.9131565665435418,"[np.int64(18), np.int64(26), np.int64(17), np.int64(8), np.int64(31)]"
16,0.9887834859622241,0.2133262151684322,0.008955311658973886,100,64,1.0,4,5,0.979959207698871,"[np.int64(21), np.int64(27), np.int64(17), np.int64(10), np.int64(25)]"
