generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.6105854029264999,0.011516924090602376,0.008311913077933802,100,63,1.0,4,5,0.30244174090456705,"[np.int64(29), np.int64(24), np.int64(16), np.int64(11), np.int64(20)]"
1,0.6698247842624521,0.02530315902518792,0.006749978314061163,100,66,1.0,4,5,0.31998495296528295,"[np.int64(33), np.int64(16), np.int64(20), np.int64(16), np.int64(15)]"
2,0.6653320578324462,0.043299366177590635,0.006645201674678134,100,67,1.0,4,5,0.45326874814032025,"[np.int64(31), np.int64(18), np.int64(22), np.int64(6), np.int64(23)]"
3,0.6943751665838476,0.06112404542002788,0.005556200991898767,100,59,2.0,4,5,0.5091120463292687,"[np.int64(19), np.int64(7), np.int64(20), np.int64(32), np.int64(22)]"
4,0.7069481729736633,0.07623245243730872,0.004810973930383819,100,59,1.0,5,5,0.5925951001360534,"[np.int64(32), np.int64(13), np.int64(30), np.int64(18), np.int64(7)]"
5,0.7461738901855378,0.0992213043276153,0.002911651563928269,100,56,1.0,4,5,0.8668685397700951,"[np.int64(39), np.int64(30), np.int64(17), np.int64(6), np.int64(8)]"
6,0.7200534866635745,0.12303934403074238,0.002393236702323626,100,68,1.0,3,5,0.8871320956892312,"[np.int64(46), np.int64(32), np.int64(7), np.int64(2), np.int64(13)]"
7,0.6946057407714208,0.1455311962168423,0.0017157869632755708,100,65,1.0,4,5,0.9532811798940073,"[np.int64(3), np.int64(48), np.int64(14), np.int64(33), np.int64(2)]"
8,0.6478050414256511,0.15979397174809923,0.0019875271620742227,100,71,1.0,4,5,0.9694361823378251,"[np.int64(46), np.int64(33), np.int64(7), np.int64(11), np.int64(3)]"
9,0.6025359999572565,0.17066625802622012,0.0025065695832519187,100,62,1.0,5,5,1.0,"[np.int64(38), np.int64(36), np.int64(9), np.int64(7), np.int64(10)]"
10,0.5932195033564871,0.17047274961552383,0.002866134218522781,100,71,1.0,3,5,1.0,"[np.int64(48), np.int64(18), np.int64(24), np.int64(5), np.int64(5)]"
11,0.5776346335811651,0.18141111547512873,0.0025971020723994246,100,59,1.0,4,5,0.9898901107311822,"[np.int64(13), np.int64(24), np.int64(59), np.int64(3), np.int64(1)]"
12,0.577049744820036,0.18206640401107987,0.0027366550892136145,100,62,1.0,4,3,1.0,"[np.int64(56), np.int64(37), np.int64(7)]"
13,0.6445763334175164,0.16453793065673913,0.0021301785934111,100,65,1.0,4,2,1.0,"[np.int64(31), np.int64(69)]"
14,0.6451264575210913,0.17263876452253354,0.001532653041262123,100,65,1.0,4,2,1.0,"[np.int64(81), np.int64(19)]"
15,0.6377647629959304,0.18298301960518343,0.000815622378683352,100,65,1.0,4,2,1.0,"[np.int64(91), np.int64(9)]"
16,0.6163609876471569,0.1954279155894204,0.00019519168036866545,100,65,1.0,4,2,1.0,"[np.int64(98), np.int64(2)]"
17,0.569532996067232,0.21170124860864561,9.859171610458128e-05,100,62,1.0,5,2,0.99,"[np.int64(99), np.int64(1)]"
18,0.5201179059823213,0.22868314338142437,2.0840969410700377e-32,100,65,1.0,3,1,,[100]
19,0.4661859458413955,0.24709038006935669,2.0840969410700377e-32,100,69,1.0,3,1,,[100]
20,0.41265571759754954,0.2661039867774047,2.0840969410700377e-32,100,64,1.0,4,1,,[100]
21,0.3607346633617936,0.2856028845002081,2.0840969410700377e-32,100,70,1.0,4,1,,[100]
22,0.3114291097702888,0.30549416277704766,2.0840969410700377e-32,100,63,1.0,4,1,,[100]
23,0.2655228197669239,0.3257059399932082,2.0840969410700377e-32,100,63,1.0,5,1,,[100]
24,0.22357086007505575,0.3461822488574924,1.7803669254231342e-12,100,64,1.0,4,2,1.0,"[np.int64(98), np.int64(2)]"
