generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9122800015635391,0.0344940313163576,0.0091432674629056,100,66,1.0,3,5,0.23172922321323866,"[np.int64(15), np.int64(17), np.int64(13), np.int64(24), np.int64(31)]"
1,0.9195915540821992,0.0690864480222557,0.007570506271235565,100,62,1.0,5,5,0.33569930196548514,"[np.int64(3), np.int64(17), np.int64(32), np.int64(37), np.int64(11)]"
2,0.9229850508441612,0.060991344009061345,0.0073914634613084325,100,64,1.0,4,5,0.435588627571775,"[np.int64(23), np.int64(22), np.int64(28), np.int64(11), np.int64(16)]"
3,0.9230928249214206,0.062463903562214824,0.007327241109998521,100,64,1.0,3,5,0.4633115214404613,"[np.int64(13), np.int64(22), np.int64(27), np.int64(18), np.int64(20)]"
4,0.9276627191857443,0.059192540224996815,0.006902419723233489,100,64,1.0,4,5,0.49319382647125976,"[np.int64(25), np.int64(16), np.int64(28), np.int64(17), np.int64(14)]"
5,0.9255393292447753,0.05840981986035272,0.00713375934520164,100,68,1.0,5,5,0.5534301604121185,"[np.int64(15), np.int64(26), np.int64(23), np.int64(12), np.int64(24)]"
6,0.9254489510440598,0.08055121189738823,0.0065274785074677264,100,58,2.0,3,5,0.611538474852517,"[np.int64(3), np.int64(31), np.int64(28), np.int64(10), np.int64(28)]"
7,0.934061769168884,0.1018117792380805,0.004791197321917354,100,61,1.0,4,5,0.6820573744758179,"[np.int64(18), np.int64(38), np.int64(33), np.int64(4), np.int64(7)]"
8,0.9328626520906922,0.08855720752777775,0.005439348631968219,100,68,1.0,3,5,0.6571168242315814,"[np.int64(13), np.int64(30), np.int64(31), np.int64(21), np.int64(5)]"
9,0.9340396986108399,0.09978115681856661,0.004884989312645897,100,65,1.0,4,5,0.7267589274789157,"[np.int64(27), np.int64(20), np.int64(38), np.int64(11), np.int64(4)]"
10,0.9267734425869453,0.1071461219921078,0.005401966636085215,100,65,1.0,4,5,0.6991024109802048,"[np.int64(36), np.int64(9), np.int64(9), np.int64(20), np.int64(26)]"
11,0.9322285492778442,0.1071105749198181,0.004796164060776872,100,65,1.0,3,5,0.7726794387004321,"[np.int64(6), np.int64(29), np.int64(27), np.int64(23), np.int64(15)]"
12,0.9388832561330815,0.09766316092006157,0.004429082884785014,100,62,1.0,5,5,0.7474083532204996,"[np.int64(21), np.int64(28), np.int64(29), np.int64(10), np.int64(12)]"
13,0.9462143406009602,0.09021636654643334,0.003914186807147618,100,60,1.0,6,5,0.819584991406919,"[np.int64(30), np.int64(16), np.int64(26), np.int64(13), np.int64(15)]"
14,0.9491194480304023,0.08868420648230146,0.003663158462177448,100,62,1.0,5,5,0.8301589650019556,"[np.int64(18), np.int64(34), np.int64(23), np.int64(13), np.int64(12)]"
15,0.9453872551361876,0.0970909318219908,0.0037502474300527638,100,63,1.0,3,5,0.8644968395078356,"[np.int64(22), np.int64(17), np.int64(29), np.int64(18), np.int64(14)]"
