generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9940485205895526,0.03254358507151036,0.009346578889221437,100,63,1.0,4,5,0.2602815818833975,"[np.int64(15), np.int64(23), np.int64(22), np.int64(22), np.int64(18)]"
1,0.994150603423834,0.06732584638003836,0.008485256555815595,100,62,1.0,5,5,0.3834585508166766,"[np.int64(22), np.int64(45), np.int64(15), np.int64(9), np.int64(9)]"
2,0.9945528377129452,0.05658643008585577,0.008104971589905237,100,65,1.0,4,5,0.36187101274705763,"[np.int64(15), np.int64(27), np.int64(18), np.int64(33), np.int64(7)]"
3,0.9940397232250672,0.07394339536482004,0.008477795721351804,100,69,1.0,4,5,0.44117794893074475,"[np.int64(11), np.int64(25), np.int64(22), np.int64(14), np.int64(28)]"
4,0.993405895690977,0.07702366540846874,0.00940609394775864,100,68,1.0,3,5,0.5545974304310556,"[np.int64(21), np.int64(10), np.int64(38), np.int64(17), np.int64(14)]"
5,0.9927421123923401,0.08796749182331892,0.010115267678046321,100,67,1.0,4,5,0.6869357396694507,"[np.int64(16), np.int64(21), np.int64(17), np.int64(34), np.int64(12)]"
6,0.993104429327478,0.10831565213660418,0.00873262516706851,100,65,1.0,4,5,0.6413511767514177,"[np.int64(20), np.int64(10), np.int64(24), np.int64(37), np.int64(9)]"
7,0.9923560293984977,0.14806288534683637,0.007899158765735475,100,67,1.0,4,5,0.7079358299142561,"[np.int64(31), np.int64(37), np.int64(9), np.int64(7), np.int64(16)]"
8,0.9926866772636305,0.15973598325008048,0.006648841801622377,100,63,1.0,5,5,0.7901681981082317,"[np.int64(11), np.int64(30), np.int64(13), np.int64(33), np.int64(13)]"
9,0.991600611684688,0.18523609131083263,0.006642178446572814,100,61,1.0,4,5,0.8195878513181982,"[np.int64(34), np.int64(22), np.int64(12), np.int64(24), np.int64(8)]"
10,0.9915641632414598,0.19419314835783288,0.006022416434417327,100,64,1.0,4,5,0.8976522401598251,"[np.int64(30), np.int64(25), np.int64(12), np.int64(16), np.int64(17)]"
11,0.9906826297855592,0.22591883517544664,0.0047794367174554585,100,62,1.0,5,5,0.9189124395354041,"[np.int64(37), np.int64(27), np.int64(8), np.int64(19), np.int64(9)]"
12,0.9896741370799628,0.24998775215011834,0.004117365747192738,100,64,1.0,4,5,0.9625450049249483,"[np.int64(29), np.int64(22), np.int64(41), np.int64(4), np.int64(4)]"
13,0.9884035490620748,0.27057933091419634,0.004027601609565131,100,69,1.0,4,5,0.9606712316048776,"[np.int64(37), np.int64(27), np.int64(31), np.int64(4), np.int64(1)]"
14,0.9876623574266543,0.2841523538653819,0.0037222528437432295,100,64,1.0,5,5,0.9999999915487399,"[np.int64(35), np.int64(37), np.int64(21), np.int64(3), np.int64(4)]"
15,0.9864485403365727,0.30009529028547555,0.0038264666702561823,100,64,1.0,4,5,0.9999999937219209,"[np.int64(38), np.int64(29), np.int64(26), np.int64(2), np.int64(5)]"
16,0.9863931081156124,0.3005576308036859,0.0038625329077823316,100,68,1.0,4,5,0.9999999937219209,"[np.int64(27), np.int64(5), np.int64(26), np.int64(38), np.int64(4)]"
17,0.9849306969898831,0.3197172795597952,0.003858308331082313,100,61,1.0,4,5,0.9999999951707085,"[np.int64(33), np.int64(18), np.int64(20), np.int64(26), np.int64(3)]"
18,0.9837852654848025,0.33187496247776876,0.004135612827315083,100,66,1.0,5,5,0.9999999956536376,"[np.int64(42), np.int64(15), np.int64(18), np.int64(20), np.int64(5)]"
19,0.9823905023295856,0.34793712598163046,0.004221086207411579,100,63,1.0,5,5,0.9999999946877793,"[np.int64(10), np.int64(49), np.int64(22), np.int64(13), np.int64(6)]"
20,0.9817129544265724,0.3528754775549716,0.004633791159008276,100,61,1.0,6,5,0.9999999956536376,"[np.int64(18), np.int64(47), np.int64(14), np.int64(10), np.int64(11)]"
21,0.9803745181756736,0.3672127501535859,0.004750252125605035,100,62,1.0,4,5,0.9999999958951022,"[np.int64(22), np.int64(47), np.int64(11), np.int64(17), np.int64(3)]"
22,0.9793300877196741,0.37919092968405194,0.004667890345150556,100,58,1.0,4,5,0.9999999973438898,"[np.int64(56), np.int64(20), np.int64(11), np.int64(11), np.int64(2)]"
23,0.9779381356290814,0.39634903217674006,0.004281237491130746,100,60,1.0,5,4,0.9999999973438898,"[np.int64(11), np.int64(63), np.int64(17), np.int64(9)]"
24,0.9768138192875975,0.40822137165253103,0.004212016443982179,100,65,1.0,4,4,0.999999996619496,"[np.int64(64), np.int64(14), np.int64(13), np.int64(9)]"
25,0.975502942099684,0.4226686959407496,0.003958496760238616,100,61,1.0,5,5,0.9999999963780314,"[np.int64(61), np.int64(15), np.int64(16), np.int64(6), np.int64(2)]"
26,0.974785676550276,0.42575766999176484,0.004616108182035563,100,69,1.0,5,5,0.9999999937219209,"[np.int64(52), np.int64(26), np.int64(12), np.int64(7), np.int64(3)]"
27,0.9735020233167921,0.43863200824637527,0.004498193741041321,100,61,1.0,5,5,0.9999999927560629,"[np.int64(48), np.int64(30), np.int64(10), np.int64(10), np.int64(2)]"
28,0.9716545315061831,0.45892707642383884,0.003888828565268004,100,62,1.0,4,4,0.9998593358540856,"[np.int64(34), np.int64(48), np.int64(3), np.int64(15)]"
29,0.9703387363211715,0.4709426048361979,0.0038226269628834977,100,64,1.0,4,4,0.9999999910658107,"[np.int64(49), np.int64(37), np.int64(11), np.int64(3)]"
30,0.9690404561819015,0.4836270031006155,0.0035422991925215266,100,60,1.5,3,4,0.9999999939633857,"[np.int64(12), np.int64(61), np.int64(25), np.int64(2)]"
31,0.9674315511117502,0.4995078889674864,0.003075861826763066,100,64,1.0,6,3,0.9999999939633857,"[np.int64(66), np.int64(25), np.int64(9)]"
32,0.966151469713455,0.5131699331234181,0.0024273086087213277,100,66,1.0,4,3,0.999999996619496,"[np.int64(77), np.int64(14), np.int64(9)]"
33,0.9648922906735006,0.5224181706700065,0.0025986635727674296,100,66,1.0,5,3,0.9999999968609606,"[np.int64(75), np.int64(12), np.int64(13)]"
34,0.9633867352462372,0.5373940822478048,0.0019225661626115227,100,61,1.0,4,3,0.9999999975853542,"[np.int64(83), np.int64(10), np.int64(7)]"
35,0.9618484335361772,0.5454103258929873,0.002743267642099858,100,68,1.0,5,3,0.9999999939633857,"[np.int64(71), np.int64(25), np.int64(4)]"
36,0.9604598941599162,0.5569303758330888,0.002515007882562748,100,62,1.0,4,3,0.9999999951707085,"[np.int64(75), np.int64(20), np.int64(5)]"
37,0.9588586996784785,0.5688081763628324,0.002510043883199629,100,70,1.0,4,3,0.9899999939633856,"[np.int64(74), np.int64(25), np.int64(1)]"
38,0.9573315645078497,0.5799943085199744,0.002490108958049744,100,64,1.0,4,2,0.9999999961924831,"[np.int64(74), np.int64(26)]"
39,0.9558190565237612,0.5916357327634253,0.0022920909379969337,100,66,1.0,3,2,0.999999996631812,"[np.int64(23), np.int64(77)]"
40,0.9542760490697932,0.6030610926407546,0.0021471365703765732,100,69,1.0,4,2,0.999999996924698,"[np.int64(79), np.int64(21)]"
41,0.9527126474431341,0.6154984423255438,0.0017394524114443123,100,57,1.0,5,2,0.9999999976569128,"[np.int64(84), np.int64(16)]"
42,0.9511095529437467,0.6263473266134947,0.0017394524114443127,100,61,1.0,4,2,0.9999999976569128,"[np.int64(84), np.int64(16)]"
43,0.9494750304066283,0.6365665311925756,0.0019102914875683105,100,63,1.0,3,2,0.9999999973640267,"[np.int64(82), np.int64(18)]"
44,0.9478204577968754,0.6477581948606166,0.0018261661849314909,100,59,1.0,5,2,0.9999999975104698,"[np.int64(83), np.int64(17)]"
45,0.9461553095489863,0.6618350357354613,0.0009525572729337899,100,58,1.5,4,2,0.9999999988284562,"[np.int64(92), np.int64(8)]"
46,0.9444522224941829,0.6743267018365853,0.0004969864032698045,100,69,1.0,4,2,0.9999999994142281,"[np.int64(96), np.int64(4)]"
