generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.6296130707563006,0.036698600808526015,0.007744006380297397,100,63,1.0,4,5,0.25726107824884986,"[np.int64(24), np.int64(14), np.int64(22), np.int64(24), np.int64(16)]"
1,0.7109516118831061,0.04233701258686661,0.005449775431693804,100,63,1.0,4,5,0.4232570410486081,"[np.int64(20), np.int64(30), np.int64(28), np.int64(11), np.int64(11)]"
2,0.7425582727316135,0.05763528288329068,0.00434714110838192,100,62,1.0,3,5,0.5248043522099785,"[np.int64(7), np.int64(26), np.int64(19), np.int64(17), np.int64(31)]"
3,0.7369175083302831,0.05354589265439137,0.004618706882346388,100,63,1.0,4,5,0.5643188508167429,"[np.int64(13), np.int64(41), np.int64(7), np.int64(19), np.int64(20)]"
4,0.7672485624814407,0.06017736158523671,0.003707430442028098,100,69,1.0,4,5,0.6765740211684617,"[np.int64(36), np.int64(13), np.int64(21), np.int64(17), np.int64(13)]"
5,0.7848818805523883,0.05904095528117402,0.003282804832735084,100,61,1.0,4,5,0.7467655605187953,"[np.int64(14), np.int64(24), np.int64(43), np.int64(11), np.int64(8)]"
6,0.8065669228829724,0.07731261009100389,0.002296113738461173,100,67,1.0,4,5,0.9117438832812056,"[np.int64(10), np.int64(52), np.int64(5), np.int64(25), np.int64(8)]"
7,0.811913942425281,0.09173023339105811,0.0016815838388977975,100,64,1.0,4,5,0.9095535137052605,"[np.int64(56), np.int64(32), np.int64(6), np.int64(3), np.int64(3)]"
8,0.8093027256546982,0.08727492442969925,0.00189405549264939,100,63,1.0,4,5,0.9433179488709791,"[np.int64(11), np.int64(43), np.int64(38), np.int64(3), np.int64(5)]"
9,0.8151657518953815,0.09088404465636041,0.0016327051002550802,100,62,1.0,5,5,0.9689616121953099,"[np.int64(43), np.int64(44), np.int64(10), np.int64(2), np.int64(1)]"
10,0.818935603427637,0.09377805921747805,0.0014498808953015804,100,67,1.0,5,5,0.9737274770268515,"[np.int64(39), np.int64(51), np.int64(7), np.int64(1), np.int64(2)]"
11,0.8169576809217373,0.0919780536100992,0.0015560893391634,100,63,1.0,5,5,0.963452138226502,"[np.int64(43), np.int64(45), np.int64(9), np.int64(1), np.int64(2)]"
12,0.8205074251744111,0.09724889375256188,0.0012860301161282748,100,66,1.0,6,5,0.9899999891642781,"[np.int64(38), np.int64(55), np.int64(4), np.int64(1), np.int64(2)]"
13,0.8231591736464692,0.09602086799277999,0.0012735012016656922,100,66,1.0,3,5,0.9899999811019703,"[np.int64(34), np.int64(57), np.int64(5), np.int64(3), np.int64(1)]"
14,0.8239013329685632,0.09976787023827581,0.00111174794303963,100,62,1.0,4,3,0.9859876418816236,"[np.int64(57), np.int64(38), np.int64(5)]"
15,0.8202420357082143,0.09602542832080502,0.0013313311708880195,100,65,1.0,5,3,0.9999999908934033,"[np.int64(53), np.int64(39), np.int64(8)]"
16,0.8245544350116626,0.10332915362376072,0.0009533854401833775,100,63,1.0,3,3,0.9999999925601796,"[np.int64(34), np.int64(63), np.int64(3)]"
17,0.8222673290042704,0.10116414651335115,0.001086901715784801,100,59,2.0,4,3,0.9999999893185482,"[np.int64(47), np.int64(49), np.int64(4)]"
18,0.81729596786109,0.09473325549867351,0.0014390020269273872,100,66,1.0,3,3,0.9999999877338847,"[np.int64(10), np.int64(53), np.int64(37)]"
19,0.8226210138125662,0.10281948881481551,0.001011886438558342,100,63,1.0,4,3,0.9999999886132334,"[np.int64(44), np.int64(53), np.int64(3)]"
20,0.8223690880147491,0.1011029110282336,0.0010874058655009392,100,66,1.0,4,3,0.9999999895262822,"[np.int64(48), np.int64(48), np.int64(4)]"
21,0.8228729396103834,0.10484838045181152,0.0009221096233215864,100,62,1.0,5,3,0.9999999877001845,"[np.int64(58), np.int64(40), np.int64(2)]"
22,0.8231248654082005,0.10717184997967717,0.0008180754197906748,100,62,1.0,4,3,0.9899999869127569,"[np.int64(63), np.int64(36), np.int64(1)]"
23,0.8216518314846383,0.10814761667495679,0.0008052412162472567,100,59,2.0,4,3,0.9999999852073762,"[np.int64(70), np.int64(28), np.int64(2)]"
24,0.8221556830802724,0.11443024716463535,0.0005145469323276514,100,62,1.0,4,2,0.9999999833812785,"[np.int64(20), np.int64(80)]"
25,0.8233767912060176,0.10977119346274701,0.0006997838279656068,100,61,1.0,4,2,0.9999999858740868,"[np.int64(68), np.int64(32)]"
26,0.8238855862584112,0.10840274618216009,0.000749630562034848,100,65,1.0,4,2,0.9999999869127569,"[np.int64(63), np.int64(37)]"
27,0.8250049353736776,0.10666454526659551,0.0008026932144311368,100,61,1.0,5,2,0.9999999891978311,"[np.int64(52), np.int64(48)]"
28,0.8249031763631989,0.10674844348072893,0.0008010852552676135,100,63,1.0,3,2,0.9999999889900971,"[np.int64(47), np.int64(53)]"
29,0.8244961403212839,0.10723343342141003,0.0007882215819594217,100,61,1.0,4,2,0.9999999881591611,"[np.int64(57), np.int64(43)]"
30,0.8239771267851416,0.10850934311104092,0.0007432517760510519,100,60,1.0,4,2,0.9948893282499562,"[np.int64(36), np.int64(64)]"
31,0.8240891042793689,0.10795481922713017,0.0007650669700046779,100,63,1.0,4,2,0.9999999873282249,"[np.int64(39), np.int64(61)]"
