generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9748741821814062,0.03752205500592171,0.009948758169495416,100,66,1.0,4,5,0.2709508340982735,"[np.int64(25), np.int64(24), np.int64(22), np.int64(13), np.int64(16)]"
1,0.9724583507690577,0.059924593403650084,0.010509402027909969,100,69,1.0,3,5,0.34969061688374714,"[np.int64(28), np.int64(20), np.int64(8), np.int64(35), np.int64(9)]"
2,0.9716845411351401,0.060253448477288536,0.010831324181780854,100,66,1.0,4,5,0.45167783872331396,"[np.int64(20), np.int64(12), np.int64(35), np.int64(24), np.int64(9)]"
3,0.9723658512586679,0.08583080286880303,0.009805943712163307,100,67,1.0,5,5,0.5221147975253307,"[np.int64(18), np.int64(43), np.int64(26), np.int64(6), np.int64(7)]"
4,0.9680114517629405,0.08694909912500014,0.011586778095354898,100,64,1.0,4,5,0.5798437685115714,"[np.int64(34), np.int64(13), np.int64(34), np.int64(9), np.int64(10)]"
5,0.9691574226809729,0.09333394502806372,0.010888176968070625,100,67,1.0,3,5,0.6079134608604781,"[np.int64(19), np.int64(11), np.int64(18), np.int64(45), np.int64(7)]"
6,0.9710394342807276,0.0810635504800234,0.010526967716054995,100,61,1.0,6,5,0.6806636843225006,"[np.int64(15), np.int64(27), np.int64(25), np.int64(22), np.int64(11)]"
7,0.9755262731146285,0.08637345447217708,0.008473963517033247,100,62,1.5,4,5,0.6763947802059883,"[np.int64(47), np.int64(8), np.int64(22), np.int64(5), np.int64(18)]"
8,0.9748604525686448,0.09373088750835039,0.008476918428952884,100,61,1.0,4,5,0.7519058770479811,"[np.int64(4), np.int64(49), np.int64(15), np.int64(24), np.int64(8)]"
9,0.9726813246330833,0.09635068455866974,0.009285666498113052,100,63,1.0,4,5,0.8002497933492879,"[np.int64(12), np.int64(27), np.int64(41), np.int64(6), np.int64(14)]"
10,0.9757393745552393,0.10979624620901841,0.007455241690328927,100,63,1.0,4,5,0.8687179706345189,"[np.int64(49), np.int64(26), np.int64(7), np.int64(16), np.int64(2)]"
11,0.9743712872617866,0.1058919139607885,0.00819383158813482,100,62,1.0,4,5,0.8874198819409342,"[np.int64(11), np.int64(39), np.int64(30), np.int64(3), np.int64(17)]"
