generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9004906896880986,0.03000786373193419,0.010534623458585333,100,63,1.0,7,5,0.31541534798986604,"[np.int64(33), np.int64(20), np.int64(5), np.int64(12), np.int64(30)]"
1,0.8849575822765745,0.028842284146771202,0.01237156947251697,100,67,1.0,4,5,0.41150283319595915,"[np.int64(46), np.int64(16), np.int64(20), np.int64(9), np.int64(9)]"
2,0.8797092593792399,0.060452248417211966,0.01242191556587996,100,62,1.0,4,4,0.41313643979852377,"[np.int64(22), np.int64(60), np.int64(11), np.int64(7)]"
3,0.8639394404162607,0.06700375298940615,0.014126756648045524,100,67,1.0,4,5,0.5679473772089108,"[np.int64(13), np.int64(48), np.int64(13), np.int64(11), np.int64(15)]"
4,0.857828130999225,0.08311587233719218,0.014334005206379868,100,63,1.0,4,5,0.5949066674567632,"[np.int64(16), np.int64(42), np.int64(12), np.int64(13), np.int64(17)]"
5,0.8665211633090136,0.09136607891265357,0.013086250549697443,100,64,1.0,4,5,0.5977898992219992,"[np.int64(9), np.int64(19), np.int64(41), np.int64(19), np.int64(12)]"
6,0.875531518853031,0.10106276596820168,0.011684087572486065,100,60,1.0,4,5,0.6964297095498483,"[np.int64(16), np.int64(45), np.int64(16), np.int64(16), np.int64(7)]"
7,0.8726768524252598,0.11961857012773636,0.011070063997847965,100,64,1.0,4,5,0.7064606636413258,"[np.int64(33), np.int64(25), np.int64(18), np.int64(19), np.int64(5)]"
8,0.8731305554468648,0.12425092708094437,0.01074464836732869,100,63,1.0,6,5,0.7105181133400406,"[np.int64(21), np.int64(20), np.int64(19), np.int64(20), np.int64(20)]"
9,0.8775319223545744,0.0938452085448683,0.01154463869437622,100,55,2.0,4,5,0.7463158166334467,"[np.int64(17), np.int64(24), np.int64(18), np.int64(25), np.int64(16)]"
10,0.8729841995630951,0.10487496531010794,0.011604678248698517,100,62,1.0,5,5,0.7824140949890394,"[np.int64(18), np.int64(29), np.int64(13), np.int64(22), np.int64(18)]"
11,0.8666963881687998,0.11207103334064597,0.012039657217949726,100,59,1.0,5,5,0.7494460350284379,"[np.int64(30), np.int64(31), np.int64(15), np.int64(20), np.int64(4)]"
12,0.8789187581122597,0.10799978040124017,0.01081113466344559,100,66,1.0,5,5,0.77848265320516,"[np.int64(27), np.int64(15), np.int64(20), np.int64(17), np.int64(21)]"
13,0.8759439418972665,0.10241427003014826,0.011395070666728938,100,69,1.0,3,5,0.6944690913674365,"[np.int64(18), np.int64(25), np.int64(24), np.int64(19), np.int64(14)]"
14,0.8782759866907648,0.10846605771724935,0.010971477205835078,100,63,1.0,4,5,0.67396775119048,"[np.int64(27), np.int64(40), np.int64(8), np.int64(7), np.int64(18)]"
15,0.8785551724092412,0.12540885184004288,0.010156152733770001,100,59,1.0,5,5,0.7492317092145581,"[np.int64(31), np.int64(29), np.int64(24), np.int64(8), np.int64(8)]"
16,0.8787527738954576,0.1251366809480835,0.010176163188005186,100,65,1.0,5,5,0.7752058356043849,"[np.int64(27), np.int64(32), np.int64(16), np.int64(17), np.int64(8)]"
17,0.9052041529699951,0.10308192376467529,0.008192354666974985,100,68,1.0,4,5,0.7449085607564179,"[np.int64(10), np.int64(49), np.int64(25), np.int64(5), np.int64(11)]"
18,0.9146355633655161,0.10821157444253683,0.006899935657930134,100,63,1.0,3,5,0.8293329993738642,"[np.int64(38), np.int64(41), np.int64(10), np.int64(7), np.int64(4)]"
19,0.9192427819918793,0.12159776171986549,0.005679090660608284,100,62,1.0,4,5,0.9131495444055215,"[np.int64(12), np.int64(52), np.int64(8), np.int64(24), np.int64(4)]"
20,0.9211257800088876,0.1314957125274077,0.004939543231092834,100,63,1.0,4,5,0.9582904915871971,"[np.int64(59), np.int64(12), np.int64(9), np.int64(18), np.int64(2)]"
21,0.915487093736414,0.13490372890798155,0.005356654800935065,100,66,1.0,4,5,0.9586380714829733,"[np.int64(53), np.int64(22), np.int64(5), np.int64(17), np.int64(3)]"
22,0.9136907085463234,0.13972343199170736,0.005279006137201273,100,65,1.0,3,5,0.958638071989219,"[np.int64(52), np.int64(24), np.int64(5), np.int64(17), np.int64(2)]"
23,0.9024956759685502,0.1545988870948186,0.005636411057734364,100,66,1.0,5,5,0.9558806100376077,"[np.int64(51), np.int64(2), np.int64(30), np.int64(11), np.int64(6)]"
24,0.9098653382465293,0.15822367812916832,0.004558163262559322,100,65,1.0,6,5,0.99,"[np.int64(56), np.int64(32), np.int64(9), np.int64(1), np.int64(2)]"
25,0.9110357532865675,0.1629486343390182,0.004100842453998501,100,66,1.0,4,3,1.0,"[np.int64(34), np.int64(56), np.int64(10)]"
26,0.9131315654281278,0.16625605184316483,0.0036372468304478253,100,58,2.0,5,3,1.0,"[np.int64(65), np.int64(27), np.int64(8)]"
27,0.9103778931936123,0.171484953124266,0.003583192266721358,100,66,1.0,5,3,1.0,"[np.int64(66), np.int64(27), np.int64(7)]"
28,0.8913364921993765,0.19277664083875354,0.004158930980267533,100,63,1.0,4,3,1.0,"[np.int64(49), np.int64(47), np.int64(4)]"
29,0.8827024789884169,0.20700134311630786,0.003986526061275895,100,64,1.0,3,3,1.0,"[np.int64(57), np.int64(41), np.int64(2)]"
30,0.8801588527855128,0.2109267649098981,0.0039380804348813645,100,58,1.0,6,2,1.0,"[np.int64(56), np.int64(44)]"
31,0.8823945307861846,0.20720507600159843,0.003994019077422287,100,68,1.0,4,2,1.0,"[np.int64(49), np.int64(51)]"
32,0.882456371266564,0.20754575739453274,0.003955661151108507,100,64,1.0,4,2,1.0,"[np.int64(55), np.int64(45)]"
33,0.879200635550125,0.21175809523776254,0.003970045373476182,100,66,1.0,4,2,1.0,"[np.int64(54), np.int64(46)]"
34,0.8820833707702096,0.2107036475496305,0.0037255135932258376,100,67,1.0,5,2,1.0,"[np.int64(63), np.int64(37)]"
35,0.8864872496312843,0.21326965940068568,0.0029967129932640295,100,57,1.0,5,2,1.0,"[np.int64(75), np.int64(25)]"
36,0.8887473661757448,0.21996498922375762,0.0021480438735716556,100,60,1.0,5,2,1.0,"[np.int64(84), np.int64(16)]"
37,0.8878225606899716,0.2262058972020018,0.001687748757806298,100,64,1.0,5,2,1.0,"[np.int64(88), np.int64(12)]"
38,0.8856045731112252,0.23161502082568095,0.001438422236766732,100,60,1.0,5,2,1.0,"[np.int64(90), np.int64(10)]"
39,0.8794034081606871,0.2328026958266435,0.0020377648354195357,100,69,1.0,3,2,1.0,"[np.int64(15), np.int64(85)]"
40,0.8775988218445738,0.23863703189155408,0.0016877487578062984,100,58,1.0,5,2,1.0,"[np.int64(88), np.int64(12)]"
41,0.8756614194700006,0.24478579251158814,0.0013089695332872302,100,58,2.0,4,2,0.9999734885976779,"[np.int64(91), np.int64(9)]"
42,0.8746246061971362,0.25287589729145243,0.0006137293300970046,100,63,1.0,6,2,0.9999734885976781,"[np.int64(96), np.int64(4)]"
43,0.8718993771964305,0.25882673764811676,0.0003132563982292004,100,59,1.0,7,2,1.0,"[np.int64(98), np.int64(2)]"
44,0.8675986961588034,0.2621290876386777,0.00046508985655457663,100,59,2.0,5,2,1.0,"[np.int64(97), np.int64(3)]"
45,0.8642154355043631,0.26723751353503483,0.00031324871956839426,100,67,1.0,5,3,1.0,"[np.int64(94), np.int64(2), np.int64(4)]"
46,0.8607693311963038,0.272361415219027,0.00015822461922350203,100,64,1.0,5,3,0.99,"[np.int64(96), np.int64(1), np.int64(3)]"
47,0.8563318540920359,0.275674853874794,0.0003132443847657878,100,61,1.0,5,4,1.0,"[np.int64(91), np.int64(2), np.int64(5), np.int64(2)]"
48,0.8531927886263714,0.2817531719417445,4.838202167251622e-09,100,65,1.0,4,3,1.0,"[np.int64(91), np.int64(7), np.int64(2)]"
49,0.8490879712436775,0.2860003554532287,7.989459234167134e-09,100,64,1.0,4,3,1.0,"[np.int64(83), np.int64(12), np.int64(5)]"
50,0.8449574938576871,0.2902317120650924,6.790457248069151e-09,100,68,1.0,6,3,1.0,"[np.int64(10), np.int64(86), np.int64(4)]"
51,0.8407887789945676,0.2944611785974192,3.663328569250446e-09,100,62,1.0,5,3,1.0,"[np.int64(92), np.int64(5), np.int64(3)]"
52,0.8365600653159443,0.29871133528807314,3.4905804467023923e-09,100,69,1.0,4,2,0.9931144731273287,"[np.int64(95), np.int64(5)]"
53,0.8322900797289293,0.30296387960756216,2.2602177660624198e-09,100,66,1.0,4,3,1.0,"[np.int64(95), np.int64(3), np.int64(2)]"
