generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9055699523141346,0.023188382700856845,0.010012377456602639,100,64,1.0,5,5,0.24790763539306193,"[np.int64(25), np.int64(19), np.int64(20), np.int64(30), np.int64(6)]"
1,0.9103618245791197,0.054565123728946084,0.00904512968586723,100,64,1.0,4,5,0.3507147211712406,"[np.int64(11), np.int64(21), np.int64(32), np.int64(32), np.int64(4)]"
2,0.9157426305805345,0.09090196372632947,0.007346775551123262,100,66,1.0,5,5,0.4686585122622467,"[np.int64(36), np.int64(25), np.int64(22), np.int64(12), np.int64(5)]"
3,0.9075330592718399,0.10998365681502681,0.007527725355486942,100,61,1.0,4,5,0.5691711472414778,"[np.int64(27), np.int64(4), np.int64(40), np.int64(20), np.int64(9)]"
4,0.8990416753915526,0.12818496866123189,0.007635163924511805,100,67,1.0,4,5,0.7512888348450195,"[np.int64(27), np.int64(34), np.int64(6), np.int64(20), np.int64(13)]"
5,0.8927761491012076,0.14494159968029127,0.007514718756867894,100,63,1.0,4,5,0.7777737546932039,"[np.int64(29), np.int64(31), np.int64(7), np.int64(12), np.int64(21)]"
6,0.8846121100346583,0.16213323452442477,0.007479549796453109,100,64,1.0,4,5,0.812170496527763,"[np.int64(44), np.int64(8), np.int64(26), np.int64(14), np.int64(8)]"
7,0.8973660812187849,0.16528914763568195,0.0057966994701260394,100,62,1.0,4,5,0.8549006773076877,"[np.int64(8), np.int64(27), np.int64(25), np.int64(35), np.int64(5)]"
8,0.898864453561711,0.1893855281755319,0.00382920015923434,100,65,1.0,4,5,0.9312471808336267,"[np.int64(29), np.int64(28), np.int64(10), np.int64(28), np.int64(5)]"
9,0.9090627557988309,0.18491320182121726,0.0029456011211133623,100,58,2.0,3,4,0.9945879188273665,"[np.int64(42), np.int64(20), np.int64(32), np.int64(6)]"
10,0.9005458816086428,0.1987288663841415,0.0028255559552451156,100,65,1.0,5,5,0.9989003926116383,"[np.int64(32), np.int64(6), np.int64(16), np.int64(44), np.int64(2)]"
11,0.8998946600431554,0.2100878593899072,0.0018862996991044476,100,55,1.0,4,5,1.0,"[np.int64(71), np.int64(11), np.int64(9), np.int64(2), np.int64(7)]"
12,0.8944800501807925,0.21733400310971207,0.0018001786498798023,100,65,1.0,4,5,0.9896032428196557,"[np.int64(25), np.int64(66), np.int64(4), np.int64(4), np.int64(1)]"
13,0.8819710789874959,0.23807384536238282,0.0012582015894779907,100,63,1.0,4,5,0.9759025870123021,"[np.int64(75), np.int64(17), np.int64(5), np.int64(1), np.int64(2)]"
14,0.8625579717123972,0.26112396064418275,0.0011675341533986577,100,66,1.0,4,5,0.979855724661693,"[np.int64(16), np.int64(79), np.int64(3), np.int64(1), np.int64(1)]"
15,0.8512542700878123,0.2720326534356692,0.001342251461423785,100,62,1.0,6,3,1.0,"[np.int64(71), np.int64(14), np.int64(15)]"
16,0.8409227357254382,0.27972245177930655,0.001747570222634768,100,66,1.0,5,3,1.0,"[np.int64(54), np.int64(28), np.int64(18)]"
17,0.8148556280987473,0.3079239069454804,0.001586828948495589,100,61,1.0,3,3,1.0,"[np.int64(62), np.int64(16), np.int64(22)]"
18,0.7949906670503762,0.32648411372525427,0.001715239293148943,100,68,1.0,5,5,0.9739447020435236,"[np.int64(54), np.int64(23), np.int64(17), np.int64(4), np.int64(2)]"
19,0.7784552156431004,0.34356726033950064,0.0015746563784400339,100,65,1.0,4,4,0.9731577366873481,"[np.int64(33), np.int64(54), np.int64(9), np.int64(4)]"
20,0.7526728541092392,0.3675476191000623,0.0015516922377870467,100,61,1.0,4,5,0.9866265729763978,"[np.int64(3), np.int64(31), np.int64(9), np.int64(55), np.int64(2)]"
21,0.7359136684591645,0.38170044263221586,0.001733065885368846,100,66,1.0,4,5,0.9751529912257487,"[np.int64(46), np.int64(40), np.int64(7), np.int64(3), np.int64(4)]"
22,0.7237774285444608,0.39349020963396,0.0016146017669887683,100,56,1.0,4,4,0.9840681951336301,"[np.int64(35), np.int64(54), np.int64(5), np.int64(6)]"
23,0.6968964277955161,0.4179187449590298,0.0014671006754539797,100,70,1.0,6,5,0.9999999973903764,"[np.int64(36), np.int64(52), np.int64(6), np.int64(2), np.int64(4)]"
24,0.6781342519266537,0.43487767053706455,0.0013262646125034136,100,67,1.0,4,5,0.989999996955439,"[np.int64(57), np.int64(27), np.int64(7), np.int64(8), np.int64(1)]"
25,0.6558833946373441,0.4538797089416383,0.0013158808666878757,100,62,1.0,4,5,0.9927609619593483,"[np.int64(56), np.int64(27), np.int64(5), np.int64(4), np.int64(8)]"
26,0.6356322324453403,0.4711774311985627,0.0012789624491717153,100,65,1.0,4,5,0.9541451634599787,"[np.int64(56), np.int64(31), np.int64(2), np.int64(10), np.int64(1)]"
27,0.5974724444003211,0.5002775125329963,0.001914329875787383,100,65,1.0,4,4,0.9154632620466839,"[np.int64(57), np.int64(34), np.int64(5), np.int64(4)]"
28,0.5902845458909102,0.5088710330503335,0.0013406623055246603,100,65,1.0,5,5,0.962954858213294,"[np.int64(54), np.int64(25), np.int64(2), np.int64(1), np.int64(18)]"
29,0.5752809836332413,0.5228659173956974,0.0009704096424762885,100,64,1.0,5,5,0.9586614726510444,"[np.int64(10), np.int64(68), np.int64(4), np.int64(3), np.int64(15)]"
30,0.5618582484910103,0.53541196360155,0.00048213338597006004,100,61,1.0,5,5,0.9762575438929346,"[np.int64(60), np.int64(7), np.int64(28), np.int64(1), np.int64(4)]"
31,0.531761613777379,0.5601506075905879,0.0006631088926570009,100,68,1.0,3,5,0.9094851133779313,"[np.int64(67), np.int64(10), np.int64(18), np.int64(2), np.int64(3)]"
32,0.5093087967079611,0.5795127580322411,0.0005243466044189849,100,65,1.0,4,5,0.9737748391921949,"[np.int64(16), np.int64(9), np.int64(62), np.int64(7), np.int64(6)]"
33,0.4836775242167201,0.6012563905142285,0.0005862231690193564,100,65,1.0,4,3,0.8912781801544353,"[np.int64(90), np.int64(1), np.int64(9)]"
34,0.4691429759604593,0.6139661677688107,0.0005396466568873758,100,74,1.0,4,4,0.8602412739729778,"[np.int64(90), np.int64(4), np.int64(4), np.int64(2)]"
35,0.4477465724091399,0.6332530138644543,0.00030078054385539887,100,62,1.0,4,3,0.8255647671289182,"[np.int64(94), np.int64(5), np.int64(1)]"
36,0.42008051786396633,0.6580391931534155,0.00016811756606795707,100,61,1.0,5,5,0.846247525670806,"[np.int64(75), np.int64(11), np.int64(3), np.int64(1), np.int64(10)]"
37,0.3939493604910072,0.6820293260497938,0.00016431721730662604,100,64,1.0,4,4,0.842536674115083,"[np.int64(90), np.int64(7), np.int64(2), np.int64(1)]"
38,0.3716835171354626,0.7031004605617582,0.00019458851110290475,100,63,1.0,5,5,0.8848161540409606,"[np.int64(77), np.int64(3), np.int64(3), np.int64(14), np.int64(3)]"
39,0.35152467720445557,0.7224931375519714,0.0002944747399331305,100,63,1.0,5,5,0.9258653442593962,"[np.int64(10), np.int64(19), np.int64(5), np.int64(6), np.int64(60)]"
40,0.3329036723350077,0.7410481644307069,0.0004211006670892147,100,65,1.0,5,5,0.8954398343137552,"[np.int64(67), np.int64(9), np.int64(7), np.int64(3), np.int64(14)]"
41,0.30870032002591735,0.7657738550683479,0.000523837607080435,100,69,1.0,3,5,0.9063916631462304,"[np.int64(59), np.int64(7), np.int64(13), np.int64(2), np.int64(19)]"
