generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.6458004804075951,0.03548882254976621,0.007334195963739268,100,63,1.0,5,5,0.29189147976640367,"[np.int64(33), np.int64(14), np.int64(7), np.int64(24), np.int64(22)]"
1,0.6964646553029569,0.05655279041009925,0.005388425688945049,100,66,1.0,3,5,0.43148989171032265,"[np.int64(18), np.int64(42), np.int64(11), np.int64(18), np.int64(11)]"
2,0.7162471815362068,0.05604355692466373,0.00487488323588192,100,61,1.0,4,5,0.46516138317114847,"[np.int64(8), np.int64(12), np.int64(26), np.int64(40), np.int64(14)]"
3,0.7336488825091091,0.056984776739721896,0.004419187967718867,100,62,1.5,4,5,0.5768007065600567,"[np.int64(46), np.int64(26), np.int64(13), np.int64(7), np.int64(8)]"
4,0.7514995407838522,0.05855445002908894,0.003949335194143614,100,63,1.0,4,5,0.695242026325279,"[np.int64(29), np.int64(14), np.int64(7), np.int64(14), np.int64(36)]"
5,0.7293246306044324,0.08142308658155045,0.0037989823647168754,100,64,1.0,4,5,0.716492240070635,"[np.int64(4), np.int64(27), np.int64(29), np.int64(32), np.int64(8)]"
6,0.7305669932382014,0.09427278486075735,0.003320612650491985,100,62,1.0,3,5,0.7290571039335024,"[np.int64(4), np.int64(21), np.int64(28), np.int64(42), np.int64(5)]"
7,0.7599981059763317,0.1010057887007644,0.0024319431203296605,100,63,1.0,5,5,0.8417580492454765,"[np.int64(37), np.int64(23), np.int64(22), np.int64(15), np.int64(3)]"
8,0.763015083667654,0.10644034951920797,0.0021366741331820104,100,66,1.0,4,5,0.9070323371821465,"[np.int64(44), np.int64(16), np.int64(17), np.int64(18), np.int64(5)]"
9,0.763440537679123,0.11619601193750294,0.001682047285447347,100,64,1.0,4,5,0.984748179569447,"[np.int64(17), np.int64(11), np.int64(46), np.int64(23), np.int64(3)]"
10,0.7843353491511571,0.11532779625645295,0.0012591015250426722,100,63,1.0,4,5,0.9994402719776216,"[np.int64(10), np.int64(54), np.int64(24), np.int64(7), np.int64(5)]"
11,0.7861582362671601,0.11741265740221005,0.0011249036038424875,100,66,1.0,5,5,0.9994120305256594,"[np.int64(54), np.int64(23), np.int64(8), np.int64(7), np.int64(8)]"
12,0.7995971707637453,0.1179205637054333,0.000815311522828001,100,60,1.0,4,5,0.9998390781935662,"[np.int64(72), np.int64(7), np.int64(12), np.int64(3), np.int64(6)]"
13,0.7962939303360628,0.1128674183716005,0.0011159823815179467,100,67,1.0,4,4,0.9966917318750719,"[np.int64(12), np.int64(73), np.int64(12), np.int64(3)]"
14,0.7859835876468328,0.1182737149372782,0.0010945218390798715,100,62,1.0,4,4,0.9972376985626628,"[np.int64(9), np.int64(67), np.int64(9), np.int64(15)]"
15,0.7918258224410328,0.12053977683481722,0.0008575578411710248,100,62,1.5,4,4,0.996304698100217,"[np.int64(70), np.int64(5), np.int64(19), np.int64(6)]"
16,0.7922753093777417,0.11740705329489388,0.0009877054325622761,100,64,1.0,3,4,0.9965135622832686,"[np.int64(3), np.int64(64), np.int64(27), np.int64(6)]"
17,0.7917910327364187,0.11330811995938234,0.0011803769570794824,100,60,1.0,4,4,0.9847950554981237,"[np.int64(59), np.int64(31), np.int64(9), np.int64(1)]"
18,0.7972051345788507,0.1180807839811799,0.0008458622507718859,100,67,1.0,4,3,0.9956208517424768,"[np.int64(30), np.int64(66), np.int64(4)]"
19,0.8010466529254419,0.12166545600631946,0.00059567839997535,100,64,1.0,5,3,0.9861993256749273,"[np.int64(73), np.int64(26), np.int64(1)]"
20,0.8003587028402783,0.12052263501950584,0.0006650581784483674,100,61,1.0,4,3,0.9966136447567676,"[np.int64(2), np.int64(72), np.int64(26)]"
21,0.8008617643203716,0.1217267721457879,0.0005963243231887865,100,59,1.0,4,3,0.9858009729221757,"[np.int64(73), np.int64(26), np.int64(1)]"
22,0.8002735712349214,0.1228785023492027,0.0005516773279555784,100,60,1.0,4,5,0.9999999589963662,"[np.int64(31), np.int64(28), np.int64(29), np.int64(3), np.int64(9)]"
23,0.8048290361931127,0.12365410824547601,0.0004209647139400416,100,67,1.0,4,2,0.994282338458904,"[np.int64(19), np.int64(81)]"
24,0.8054152198001384,0.12375719242016534,0.0004040469144219636,100,61,1.0,4,2,0.993458911307622,"[np.int64(82), np.int64(18)]"
25,0.8073308126094202,0.12447083313766423,0.000329677972497207,100,68,1.0,4,2,0.9934481299475209,"[np.int64(86), np.int64(14)]"
26,0.8076657197859813,0.12436556659220392,0.00032819382038822345,100,64,1.0,3,2,0.9920584445519667,"[np.int64(86), np.int64(14)]"
27,0.8083385463610908,0.12450634208929712,0.00030759038218049976,100,63,1.0,4,2,0.9912312587580372,"[np.int64(87), np.int64(13)]"
28,0.8082972559951304,0.12453395160128428,0.000306987921752848,100,60,2.0,4,2,0.9913237386881402,"[np.int64(87), np.int64(13)]"
29,0.8061395736640583,0.12384084342083368,0.0003851616823812417,100,64,1.0,4,2,0.9907720497277731,"[np.int64(83), np.int64(17)]"
30,0.8070391911360926,0.12422889403366238,0.0003475259130014707,100,65,1.0,3,2,0.9908553278834069,"[np.int64(85), np.int64(15)]"
31,0.8065746578195622,0.12403222422983069,0.0003667323148362796,100,60,1.0,5,2,0.9893863486563845,"[np.int64(84), np.int64(16)]"
32,0.8075983462137232,0.12439607918900095,0.00032787976353276023,100,69,1.0,3,2,0.9892955249683935,"[np.int64(86), np.int64(14)]"
33,0.8069968364661487,0.1242518055533333,0.00034715750610876184,100,61,1.0,4,2,0.9895167848705394,"[np.int64(85), np.int64(15)]"
34,0.8059999435540823,0.12392273404272364,0.00038361331345106414,100,61,1.0,5,2,0.990780061955789,"[np.int64(83), np.int64(17)]"
35,0.8080149424548962,0.12463038554109271,0.0003076926861398086,100,68,1.0,5,2,0.9913274546230788,"[np.int64(87), np.int64(13)]"
36,0.8073759935087316,0.12409667165185072,0.00034739794171808724,100,65,1.0,3,2,0.9892542305473007,"[np.int64(85), np.int64(15)]"
37,0.8106110376539287,0.12572507951638745,0.0002003688106689483,100,65,1.0,4,2,0.9901339706533453,"[np.int64(8), np.int64(92)]"
38,0.8111127254147467,0.12598159959977273,0.00017730033851342896,100,57,2.0,4,2,0.9900980776269752,"[np.int64(93), np.int64(7)]"
39,0.8125058295488998,0.12685315450028523,0.00010495997867433432,100,63,1.0,4,2,0.9891767689477026,"[np.int64(96), np.int64(4)]"
40,0.8125853924397559,0.1268274584997406,0.00010469652154545704,100,66,1.0,4,2,0.9897668870265476,"[np.int64(96), np.int64(4)]"
41,0.8122731899223681,0.1264640976452535,0.0001295400623837439,100,67,1.0,4,2,0.9884076080881813,"[np.int64(95), np.int64(5)]"
42,0.8139200233121886,0.1273015371912541,5.3780921023415124e-05,100,67,1.0,4,2,0.9867823217912473,"[np.int64(98), np.int64(2)]"
43,0.8140798111418418,0.12775288451404598,2.7312332128076525e-05,100,65,1.0,4,2,0.9783372163532313,"[np.int64(99), np.int64(1)]"
44,0.8146309830702252,0.12806032212792873,4.5659366123793217e-07,100,65,1.0,5,5,0.976320944313859,"[np.int64(16), np.int64(46), np.int64(16), np.int64(14), np.int64(8)]"
45,0.8144451251779151,0.12813313730486736,3.736564764936055e-07,100,62,1.0,5,5,0.9857442562951292,"[np.int64(50), np.int64(10), np.int64(16), np.int64(16), np.int64(8)]"
46,0.814171978335663,0.1282399176387496,2.621016299656914e-07,100,65,1.0,3,5,0.9611690759783785,"[np.int64(59), np.int64(10), np.int64(18), np.int64(12), np.int64(1)]"
47,0.8138421196165747,0.12836873511750047,1.2785394850253363e-07,100,63,1.0,5,5,0.9999882138071372,"[np.int64(11), np.int64(4), np.int64(56), np.int64(13), np.int64(16)]"
48,0.8138204905460256,0.1283766134678681,1.4916694807469843e-07,100,69,1.0,3,5,0.9782268065825065,"[np.int64(75), np.int64(5), np.int64(12), np.int64(7), np.int64(1)]"
49,0.8137285497940396,0.12841230302574846,1.220775958983569e-07,100,69,1.0,4,5,0.9999977900888382,"[np.int64(77), np.int64(4), np.int64(10), np.int64(6), np.int64(3)]"
