generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.5839143477978554,0.02886712514413538,0.009361742875781365,100,61,1.0,4,5,0.2589815297216226,"[np.int64(10), np.int64(22), np.int64(36), np.int64(20), np.int64(12)]"
1,0.6605982189823437,0.05844298901172533,0.006657420696270694,100,70,1.0,3,5,0.3690693100274063,"[np.int64(23), np.int64(22), np.int64(30), np.int64(20), np.int64(5)]"
2,0.6612897154636899,0.0670869098505846,0.006471391765606444,100,68,1.0,4,4,0.4214010798827436,"[np.int64(59), np.int64(14), np.int64(21), np.int64(6)]"
3,0.6899076958318641,0.07972729694687672,0.005711554151628893,100,62,1.0,6,5,0.5784472316065761,"[np.int64(10), np.int64(32), np.int64(41), np.int64(10), np.int64(7)]"
4,0.7278982925203299,0.09498334056347063,0.003989867814195684,100,64,1.0,4,5,0.7119723911770436,"[np.int64(41), np.int64(6), np.int64(10), np.int64(39), np.int64(4)]"
5,0.7220042573175701,0.10682806988338085,0.0035912327496976535,100,65,1.0,3,5,0.7966800641713921,"[np.int64(49), np.int64(34), np.int64(6), np.int64(8), np.int64(3)]"
6,0.7139315538407542,0.10799860786477095,0.0034710054115014593,100,68,1.0,5,5,0.9221623197550959,"[np.int64(46), np.int64(9), np.int64(33), np.int64(8), np.int64(4)]"
7,0.6764515528271731,0.11977961009845733,0.0037785444125996324,100,63,1.0,4,5,0.9428025986907778,"[np.int64(48), np.int64(12), np.int64(28), np.int64(7), np.int64(5)]"
8,0.6497965350368363,0.13319042006485304,0.0036380116879973718,100,68,1.0,4,5,0.9526583726959984,"[np.int64(2), np.int64(13), np.int64(29), np.int64(51), np.int64(5)]"
9,0.6257927383859687,0.15267083970081272,0.0028795649070762833,100,66,1.0,4,5,0.9896933690241347,"[np.int64(11), np.int64(52), np.int64(28), np.int64(8), np.int64(1)]"
10,0.5599685089711335,0.17510835744526349,0.0032857078320607047,100,58,1.0,6,5,0.9996223734998929,"[np.int64(13), np.int64(45), np.int64(23), np.int64(8), np.int64(11)]"
11,0.5148614608504557,0.1909426830240707,0.0035508475799314277,100,69,1.0,4,5,0.99979806069513,"[np.int64(45), np.int64(18), np.int64(9), np.int64(13), np.int64(15)]"
12,0.4670417986481372,0.21263930747847287,0.003390048659342714,100,65,1.0,4,5,0.9997659474203069,"[np.int64(42), np.int64(17), np.int64(13), np.int64(23), np.int64(5)]"
13,0.46354705632663895,0.2020905815831582,0.004562856281513986,100,61,1.0,4,5,0.9898065291175924,"[np.int64(32), np.int64(36), np.int64(10), np.int64(21), np.int64(1)]"
14,0.45579749697081295,0.20111160682479817,0.00519273876489195,100,63,1.0,6,5,0.9999555733529286,"[np.int64(14), np.int64(51), np.int64(13), np.int64(20), np.int64(2)]"
15,0.4146834055666465,0.22416090057633564,0.005031081237480893,100,61,1.0,4,4,1.0,"[np.int64(28), np.int64(51), np.int64(10), np.int64(11)]"
16,0.4066070769883673,0.23291044554431933,0.004692961013202966,100,60,1.5,4,4,1.0,"[np.int64(9), np.int64(61), np.int64(17), np.int64(13)]"
17,0.4611339211551112,0.2417746135576569,0.0009764594230649995,100,60,1.0,4,2,1.0,"[np.int64(93), np.int64(7)]"
18,0.43924037369223706,0.25654761234249457,3.440673845647797e-32,100,70,1.0,4,1,,[100]
19,0.39691310471026797,0.27188786395400405,5.561575007272968e-09,100,67,1.0,5,2,1.0,"[np.int64(98), np.int64(2)]"
20,0.3541953564690171,0.2881535757900598,1.347830677782991e-08,100,69,1.0,3,2,1.0,"[np.int64(95), np.int64(5)]"
21,0.31218526077107556,0.30517640882516694,1.0896146953024576e-08,100,69,1.0,4,2,1.0,"[np.int64(96), np.int64(4)]"
22,0.27173249263793364,0.3228543607644088,1.097418363486432e-08,100,65,1.0,3,2,0.9966892518054351,"[np.int64(4), np.int64(96)]"
23,0.23358182639661304,0.34108326403819156,1.0896146953024583e-08,100,64,1.0,4,2,1.0,"[np.int64(96), np.int64(4)]"
