generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9742012876822841,0.03092861967819262,0.010316747411757938,100,62,1.0,5,4,0.32731642791404153,"[np.int64(42), np.int64(34), np.int64(7), np.int64(17)]"
1,0.9752809062016473,0.04319081749644074,0.009683282962489796,100,65,1.0,4,5,0.36671660479058443,"[np.int64(19), np.int64(30), np.int64(7), np.int64(18), np.int64(26)]"
2,0.9737868087996391,0.06598880349754999,0.009801316410885667,100,67,1.0,6,5,0.44427351284997757,"[np.int64(31), np.int64(21), np.int64(11), np.int64(15), np.int64(22)]"
3,0.9736874842652302,0.08287433447053182,0.009317562424991491,100,63,1.0,4,5,0.5043476798179541,"[np.int64(13), np.int64(27), np.int64(20), np.int64(20), np.int64(20)]"
4,0.9738028701375789,0.09960254676279023,0.008654717149572257,100,59,1.0,4,5,0.6006683264524179,"[np.int64(26), np.int64(34), np.int64(22), np.int64(10), np.int64(8)]"
5,0.9750359491761784,0.1047831029611671,0.007930440903887772,100,66,1.0,3,5,0.6610362979445515,"[np.int64(46), np.int64(25), np.int64(10), np.int64(9), np.int64(10)]"
6,0.9748169416043052,0.1251423381162952,0.007084680522640864,100,64,1.0,4,5,0.685999437597358,"[np.int64(48), np.int64(13), np.int64(11), np.int64(20), np.int64(8)]"
7,0.9737809771691005,0.14593017867495756,0.00638212148292776,100,64,1.0,3,5,0.6745864177417988,"[np.int64(51), np.int64(15), np.int64(19), np.int64(7), np.int64(8)]"
8,0.9741552064253434,0.1540029944497818,0.005739574944175761,100,59,1.0,5,5,0.7267195655426878,"[np.int64(9), np.int64(15), np.int64(45), np.int64(13), np.int64(18)]"
9,0.9751875084839071,0.15531819095268776,0.0052321135934646655,100,54,2.0,5,5,0.8264009645907785,"[np.int64(5), np.int64(44), np.int64(21), np.int64(25), np.int64(5)]"
10,0.9758409324733073,0.1595124038332141,0.004697790557632118,100,64,1.0,4,5,0.9333934100319493,"[np.int64(15), np.int64(22), np.int64(14), np.int64(14), np.int64(35)]"
11,0.9760447090618273,0.14397902814456448,0.005558980055310499,100,62,1.0,4,5,0.8808145568607009,"[np.int64(13), np.int64(49), np.int64(16), np.int64(12), np.int64(10)]"
12,0.9754556955106467,0.15231181641249705,0.005304210921257878,100,62,1.0,4,5,0.8501741402400295,"[np.int64(55), np.int64(18), np.int64(6), np.int64(11), np.int64(10)]"
13,0.9754492117100275,0.16361208508498884,0.004592477332037583,100,64,1.0,5,5,0.9003679198872112,"[np.int64(7), np.int64(47), np.int64(16), np.int64(24), np.int64(6)]"
14,0.9748442998323174,0.159656955008216,0.0050947702546296205,100,63,1.0,5,5,0.9739618424529152,"[np.int64(9), np.int64(26), np.int64(45), np.int64(5), np.int64(15)]"
15,0.9747013712960789,0.16770165803229628,0.00462583804844721,100,63,1.0,4,5,0.9999999997043588,"[np.int64(24), np.int64(47), np.int64(9), np.int64(18), np.int64(2)]"
16,0.9748145389186982,0.18236086135859547,0.003553152211871938,100,63,1.0,4,5,0.9955531123191612,"[np.int64(10), np.int64(12), np.int64(54), np.int64(5), np.int64(19)]"
17,0.9750516414192196,0.19275286098585168,0.002676296546913838,100,64,1.0,4,5,0.9914767991155099,"[np.int64(53), np.int64(6), np.int64(5), np.int64(11), np.int64(25)]"
18,0.9753287968006664,0.192999125382969,0.0025435279147752623,100,65,1.0,3,5,0.999999999260897,"[np.int64(47), np.int64(33), np.int64(5), np.int64(5), np.int64(10)]"
19,0.9751959426587574,0.1970364793743201,0.0022830793025079813,100,64,1.0,4,5,0.9999999994087176,"[np.int64(60), np.int64(19), np.int64(4), np.int64(13), np.int64(4)]"
20,0.9755262146797489,0.20173049534987536,0.0017733108108138169,100,63,1.0,4,5,0.9899999995565384,"[np.int64(59), np.int64(17), np.int64(3), np.int64(20), np.int64(1)]"
21,0.9754764193840936,0.2071393457349581,0.0013512579767003773,100,66,1.0,4,4,0.9999999997043588,"[np.int64(14), np.int64(62), np.int64(22), np.int64(2)]"
22,0.9751723070588071,0.20950408934941384,0.001278839854240421,100,66,1.0,3,4,0.9999999995565382,"[np.int64(67), np.int64(20), np.int64(10), np.int64(3)]"
23,0.9750498478525196,0.21096854126217965,0.0012059313984032944,100,64,1.0,4,4,0.9999999995565382,"[np.int64(73), np.int64(11), np.int64(3), np.int64(13)]"
24,0.9750500345978422,0.21521794264323044,0.0008434354617074868,100,60,1.0,4,4,0.99,"[np.int64(16), np.int64(75), np.int64(8), np.int64(1)]"
25,0.9745565927901026,0.22225364387141888,0.0004299952441788422,100,66,1.0,5,4,0.99,"[np.int64(88), np.int64(9), np.int64(2), np.int64(1)]"
26,0.9743694812326334,0.2208201603651955,0.0006338336356002245,100,60,1.5,4,4,0.9899999995565382,"[np.int64(7), np.int64(89), np.int64(3), np.int64(1)]"
27,0.9744283995381323,0.2240273111480861,0.0003242175171908748,100,63,1.0,4,4,0.98,"[np.int64(92), np.int64(6), np.int64(1), np.int64(1)]"
