generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9937244757859263,0.03630156820515198,0.009817250673251255,100,61,1.0,5,5,0.2957152550055206,"[np.int64(24), np.int64(26), np.int64(32), np.int64(11), np.int64(7)]"
1,0.993558186300639,0.036451443912420195,0.010080613994150387,100,59,1.0,5,5,0.43348950550927867,"[np.int64(23), np.int64(18), np.int64(11), np.int64(21), np.int64(27)]"
2,0.9943427025989001,0.04860436850053299,0.008611748403152932,100,58,1.0,6,5,0.576722458974769,"[np.int64(26), np.int64(26), np.int64(5), np.int64(34), np.int64(9)]"
3,0.9943542457143353,0.07217911202726156,0.008022098787338625,100,63,1.0,4,5,0.6987547088780407,"[np.int64(28), np.int64(18), np.int64(33), np.int64(7), np.int64(14)]"
4,0.9944024691923555,0.07696261614085385,0.007802213939811167,100,67,1.0,4,5,0.7003814175079366,"[np.int64(29), np.int64(28), np.int64(10), np.int64(28), np.int64(5)]"
5,0.9949578410964953,0.08640470904427659,0.00659990766861524,100,59,1.0,5,5,0.7888016117152666,"[np.int64(28), np.int64(26), np.int64(24), np.int64(11), np.int64(11)]"
6,0.9948159562625927,0.09571561263843371,0.006489728027390562,100,65,1.0,4,5,0.7926379458871867,"[np.int64(12), np.int64(24), np.int64(28), np.int64(24), np.int64(12)]"
7,0.9941637637027297,0.10487876684573258,0.007172390086480944,100,64,1.0,4,5,0.8420022445698123,"[np.int64(34), np.int64(24), np.int64(19), np.int64(5), np.int64(18)]"
8,0.9942309076193251,0.12092827106974884,0.006343845731755238,100,65,1.0,5,5,0.8646772778455876,"[np.int64(17), np.int64(31), np.int64(28), np.int64(4), np.int64(20)]"
9,0.9942037271469363,0.12930792547253733,0.005968894547450368,100,67,1.0,3,5,0.8766665575719671,"[np.int64(36), np.int64(16), np.int64(23), np.int64(21), np.int64(4)]"
10,0.9940345286773048,0.14196462065268536,0.005553003027448154,100,65,1.0,4,5,0.9103226309626781,"[np.int64(22), np.int64(20), np.int64(9), np.int64(37), np.int64(12)]"
11,0.9937116900525504,0.16415290973075547,0.004717040029046553,100,62,1.0,3,5,0.9131167796331726,"[np.int64(27), np.int64(43), np.int64(15), np.int64(13), np.int64(2)]"
12,0.992243934951982,0.19754836368708534,0.004666814463879088,100,64,1.0,4,5,0.9599494551256353,"[np.int64(13), np.int64(32), np.int64(38), np.int64(9), np.int64(8)]"
13,0.9907064358007256,0.2143130926685474,0.005774533241219064,100,65,1.0,3,5,0.9852406898128915,"[np.int64(9), np.int64(29), np.int64(18), np.int64(35), np.int64(9)]"
14,0.9905670845204034,0.2267006759073508,0.0049052373607049084,100,66,1.0,4,5,0.9852406903849754,"[np.int64(17), np.int64(38), np.int64(34), np.int64(5), np.int64(6)]"
15,0.9912404522779874,0.22974251591445424,0.0035349983422110695,100,65,1.0,4,5,0.9899999958510215,"[np.int64(15), np.int64(30), np.int64(49), np.int64(5), np.int64(1)]"
16,0.9906486311158583,0.2469417514664395,0.002851761821450858,100,63,1.0,5,4,0.9999999972233126,"[np.int64(56), np.int64(29), np.int64(10), np.int64(5)]"
17,0.9904538334710875,0.2580739098790093,0.0020391686570192867,100,60,1.0,4,3,0.9999999984685002,"[np.int64(66), np.int64(27), np.int64(7)]"
18,0.9893130400616981,0.2805740289286607,0.0014599983087558257,100,60,1.0,5,3,0.9999999995624286,"[np.int64(29), np.int64(69), np.int64(2)]"
19,0.9876601455647699,0.3050111310901526,0.0012750815014925167,100,63,1.0,4,2,1.0,"[np.int64(33), np.int64(67)]"
20,0.9850705207650295,0.3366295406865381,0.0014209863499220093,100,59,1.0,6,2,1.0,"[np.int64(56), np.int64(44)]"
21,0.9840246778973188,0.34957308164577555,0.0013442853821705376,100,63,1.0,4,2,1.0,"[np.int64(37), np.int64(63)]"
22,0.9825026149982071,0.36720256528948914,0.001294112568678972,100,61,1.0,4,2,1.0,"[np.int64(34), np.int64(66)]"
23,0.981252555425476,0.3815672130390133,0.0011795419903379875,100,64,1.0,3,3,0.999999998669624,"[np.int64(28), np.int64(69), np.int64(3)]"
24,0.9792534414135509,0.4023546868574162,0.0011846163699825991,100,63,1.0,5,3,0.9999999982261653,"[np.int64(68), np.int64(28), np.int64(4)]"
25,0.9768221872285064,0.42594794366993854,0.0012560291721452686,100,61,1.0,4,3,0.9999999977827068,"[np.int64(31), np.int64(64), np.int64(5)]"
26,0.9751011187122469,0.44285202416286407,0.0011392276845549436,100,63,1.0,4,3,0.9999999977827067,"[np.int64(69), np.int64(26), np.int64(5)]"
27,0.9730200220418476,0.4619860026627808,0.0010954710982775777,100,61,1.0,4,3,0.9999999968957893,"[np.int64(69), np.int64(24), np.int64(7)]"
28,0.9706031209933121,0.48280313342332815,0.0011440867812815168,100,59,1.0,4,3,0.9999999946784962,"[np.int64(63), np.int64(25), np.int64(12)]"
29,0.9686513689366231,0.4993387977993939,0.001119174360093465,100,60,1.0,5,3,0.9999999898004509,"[np.int64(54), np.int64(23), np.int64(23)]"
30,0.9652794472949,0.5261442131280545,0.0012038331169693798,100,68,1.0,4,3,0.9999999924612026,"[np.int64(27), np.int64(56), np.int64(17)]"
31,0.9626775481570544,0.5464969723645045,0.0011559793311057606,100,59,2.0,4,3,0.9999999929046615,"[np.int64(59), np.int64(25), np.int64(16)]"
32,0.9594713416178345,0.5704929519228085,0.0011322034708898486,100,64,1.0,3,3,0.9999999960088721,"[np.int64(66), np.int64(25), np.int64(9)]"
33,0.9566798418147385,0.5909868378297469,0.0010312604695892858,100,62,1.0,4,3,0.9999999973392479,"[np.int64(22), np.int64(72), np.int64(6)]"
34,0.9520833322535236,0.6217082129128799,0.0012946759811022972,100,58,1.0,5,3,0.9999999977827067,"[np.int64(62), np.int64(33), np.int64(5)]"
35,0.9485209712753163,0.6451291574669453,0.001364915363535041,100,65,1.0,5,3,0.9999999955654134,"[np.int64(53), np.int64(37), np.int64(10)]"
36,0.9450180818364224,0.6676148884142976,0.0013858051776025459,100,68,1.0,5,3,0.9999999942350375,"[np.int64(48), np.int64(39), np.int64(13)]"
37,0.9423467900738488,0.6847801377759812,0.0012661238595541653,100,66,1.0,6,3,0.9999999964523307,"[np.int64(31), np.int64(61), np.int64(8)]"
38,0.9385843188334408,0.7075309666207055,0.0013409764181663585,100,60,1.0,4,3,0.9999999933481202,"[np.int64(50), np.int64(35), np.int64(15)]"
39,0.9363079036945705,0.7215242408126147,0.0012273971428052362,100,62,1.0,6,3,0.9999999898004509,"[np.int64(49), np.int64(28), np.int64(23)]"
40,0.9344371760115981,0.7333960442580105,0.0009625623324007151,100,63,1.0,5,3,0.9999999871396988,"[np.int64(17), np.int64(54), np.int64(29)]"
41,0.931175391313217,0.7529093454744983,0.0007461103270970872,100,61,1.0,4,3,0.9999999893569922,"[np.int64(65), np.int64(11), np.int64(24)]"
42,0.9277809952947339,0.7722625894983284,0.0006843876057475252,100,61,1.0,5,3,0.9999999875831577,"[np.int64(28), np.int64(63), np.int64(9)]"
43,0.9227637955515076,0.7992374135322298,0.0008946954878140916,100,67,1.0,4,3,0.9999999884700749,"[np.int64(59), np.int64(15), np.int64(26)]"
44,0.9191486358065163,0.8189430227773482,0.0007940103199978425,100,68,1.0,5,3,0.9999999880266163,"[np.int64(61), np.int64(12), np.int64(27)]"
45,0.9133837059581659,0.8483594919934162,0.0010692531841443801,100,61,1.0,5,3,0.9999999893569921,"[np.int64(55), np.int64(21), np.int64(24)]"
46,0.9098731606123445,0.8664165584323581,0.0010438967609645272,100,56,2.0,4,3,0.9999999849224056,"[np.int64(46), np.int64(20), np.int64(34)]"
47,0.9065854164633126,0.8833044720861837,0.0009222372642108186,100,66,1.0,4,4,0.9899999822616538,"[np.int64(40), np.int64(45), np.int64(14), np.int64(1)]"
