generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.9793558021041063,0.033340297090399644,0.008167958867292265,100,65,1.0,4,5,0.27593796847957286,"[np.int64(18), np.int64(42), np.int64(8), np.int64(26), np.int64(6)]"
1,0.9834975708589845,0.025029857941219355,0.006561323082735564,100,61,1.0,5,5,0.3524958255763508,"[np.int64(15), np.int64(34), np.int64(15), np.int64(19), np.int64(17)]"
2,0.9791698796133319,0.03953917827344939,0.008159118172008985,100,63,1.0,3,5,0.4762149657120809,"[np.int64(46), np.int64(9), np.int64(6), np.int64(24), np.int64(15)]"
3,0.9768453839535699,0.0569005414287355,0.008781010544475432,100,64,1.0,4,5,0.5477971907407195,"[np.int64(18), np.int64(25), np.int64(7), np.int64(36), np.int64(14)]"
4,0.9797568062004742,0.043892479924735286,0.007843892086416084,100,66,1.0,3,5,0.5582421741300125,"[np.int64(44), np.int64(19), np.int64(13), np.int64(19), np.int64(5)]"
5,0.9754695280927693,0.07113473051197784,0.00900003861776776,100,65,1.0,5,5,0.6012149002869851,"[np.int64(34), np.int64(15), np.int64(32), np.int64(10), np.int64(9)]"
6,0.9788262225033266,0.07794428198432626,0.0073735620393843735,100,62,1.5,4,5,0.7397490642373389,"[np.int64(5), np.int64(32), np.int64(11), np.int64(16), np.int64(36)]"
7,0.9766144067854686,0.08118804838378778,0.008180242321685561,100,66,1.0,3,5,0.734905803005688,"[np.int64(14), np.int64(23), np.int64(19), np.int64(15), np.int64(29)]"
8,0.9744481407104115,0.0916701456146475,0.008711804508825475,100,65,1.0,4,5,0.7392017108746434,"[np.int64(34), np.int64(13), np.int64(27), np.int64(19), np.int64(7)]"
9,0.9713788900832774,0.1151790883491653,0.009006095050670357,100,58,1.5,4,5,0.7525264669227322,"[np.int64(37), np.int64(28), np.int64(14), np.int64(13), np.int64(8)]"
10,0.9741848797385647,0.10263406653359777,0.008403951489468337,100,64,1.0,5,5,0.7935969478442759,"[np.int64(10), np.int64(41), np.int64(23), np.int64(21), np.int64(5)]"
11,0.9740038342159374,0.10926845722747479,0.008188749972981614,100,67,1.0,4,5,0.8446660929442343,"[np.int64(14), np.int64(32), np.int64(25), np.int64(19), np.int64(10)]"
12,0.973673807303122,0.11545068210706362,0.008038780775990104,100,66,1.0,4,5,0.8324777348188438,"[np.int64(36), np.int64(27), np.int64(20), np.int64(12), np.int64(5)]"
13,0.9750753247512333,0.11950646019551019,0.00726730637093073,100,66,1.0,4,5,0.818278848782469,"[np.int64(6), np.int64(43), np.int64(28), np.int64(15), np.int64(8)]"
14,0.9761794006146736,0.13472655999763744,0.006031650346432424,100,67,1.0,4,5,0.8738676174136792,"[np.int64(17), np.int64(54), np.int64(10), np.int64(15), np.int64(4)]"
15,0.973967361102495,0.14939504225153244,0.00610288064008417,100,63,1.0,4,5,0.9190497134334518,"[np.int64(57), np.int64(16), np.int64(7), np.int64(15), np.int64(5)]"
16,0.9720048169987282,0.17987765942137826,0.004903703655935988,100,59,1.0,5,5,0.9426568419093772,"[np.int64(8), np.int64(70), np.int64(8), np.int64(7), np.int64(7)]"
17,0.9710527240877015,0.1865193048218775,0.0048136037104747455,100,65,1.0,4,5,0.9470508542444783,"[np.int64(70), np.int64(9), np.int64(5), np.int64(9), np.int64(7)]"
18,0.9735757895125436,0.17861523711040228,0.004354133026052474,100,68,1.0,3,5,0.9448582750199628,"[np.int64(69), np.int64(5), np.int64(16), np.int64(8), np.int64(2)]"
19,0.9707086211560246,0.214722254438122,0.002684421278734574,100,61,1.0,5,5,0.9787834651637067,"[np.int64(84), np.int64(9), np.int64(4), np.int64(2), np.int64(1)]"
20,0.9707461787897711,0.22390446388867222,0.0018632726880161582,100,61,1.0,5,5,0.99,"[np.int64(87), np.int64(6), np.int64(1), np.int64(2), np.int64(4)]"
21,0.9686084307174425,0.22719474761859385,0.0024644612454368,100,64,1.0,5,5,0.9395371079376289,"[np.int64(79), np.int64(13), np.int64(2), np.int64(5), np.int64(1)]"
22,0.9628456935332527,0.26847809001219464,0.0007564008989114502,100,61,1.0,5,3,0.9957425358903538,"[np.int64(15), np.int64(82), np.int64(3)]"
23,0.9624888798892934,0.26556861353293343,0.001224072757487565,100,64,1.0,5,4,1.0,"[np.int64(16), np.int64(78), np.int64(4), np.int64(2)]"
24,0.9630955953192847,0.2642920849125173,0.001098637211367368,100,63,1.0,4,5,0.99,"[np.int64(10), np.int64(4), np.int64(83), np.int64(2), np.int64(1)]"
25,0.9593932269379644,0.26979994352864206,0.0020680727202096365,100,63,1.0,4,5,0.9290912497869812,"[np.int64(70), np.int64(7), np.int64(8), np.int64(14), np.int64(1)]"
26,0.9606020364096566,0.25957149492777354,0.002660893584491949,100,62,1.0,4,5,0.943191157390519,"[np.int64(66), np.int64(12), np.int64(6), np.int64(12), np.int64(4)]"
27,0.9586615897991735,0.2647307349899446,0.0029317095323220495,100,62,1.0,4,5,0.9062776117620195,"[np.int64(8), np.int64(12), np.int64(61), np.int64(11), np.int64(8)]"
28,0.9547486078088976,0.2738789438832936,0.0036018976141308965,100,60,1.5,6,5,0.9063085394458557,"[np.int64(45), np.int64(12), np.int64(22), np.int64(15), np.int64(6)]"
29,0.9529025482915953,0.28409654296249454,0.0032236462680418528,100,61,1.0,4,5,0.8706742428988128,"[np.int64(58), np.int64(24), np.int64(8), np.int64(6), np.int64(4)]"
30,0.9506081402171245,0.2976719625124248,0.0025914776587451136,100,59,1.0,4,5,0.9328477244160709,"[np.int64(57), np.int64(24), np.int64(4), np.int64(11), np.int64(4)]"
31,0.9528668222386717,0.29286666350224466,0.002204758295637178,100,62,1.0,4,5,0.9999999968730626,"[np.int64(72), np.int64(16), np.int64(5), np.int64(5), np.int64(2)]"
32,0.9520242352767034,0.2982360933239931,0.0019190642495349134,100,58,2.0,6,4,0.9716050716648946,"[np.int64(78), np.int64(15), np.int64(4), np.int64(3)]"
33,0.9517836891929958,0.3046831559494596,0.0012265703300459536,100,66,1.0,5,3,0.9557080341097846,"[np.int64(88), np.int64(10), np.int64(2)]"
34,0.9476537965780786,0.3170229591193386,0.0014334673807665788,100,65,1.0,5,5,0.9765577079211976,"[np.int64(76), np.int64(18), np.int64(3), np.int64(2), np.int64(1)]"
35,0.9448278967179137,0.3237811418101032,0.0017679799520447102,100,62,1.0,6,4,0.9999999864221855,"[np.int64(66), np.int64(24), np.int64(6), np.int64(4)]"
