generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,n_clusters,silhouette,cluster_sizes
0,0.8948887204612014,0.0632264547839554,0.01050879292352746,100,62,1.0,5,2,0.2406505165147421,"[np.int64(65), np.int64(35)]"
1,0.9082040103323079,0.049022393182576916,0.009332723273798253,100,61,1.0,4,5,0.37595886632996733,"[np.int64(13), np.int64(31), np.int64(20), np.int64(23), np.int64(13)]"
2,0.8981759892565673,0.05549081702803953,0.01034912810094078,100,59,1.0,4,5,0.39908038982427313,"[np.int64(15), np.int64(15), np.int64(30), np.int64(25), np.int64(15)]"
3,0.8951082483047166,0.0536585323027486,0.010749564093621669,100,64,1.0,4,5,0.4734215028919936,"[np.int64(18), np.int64(36), np.int64(16), np.int64(12), np.int64(18)]"
4,0.9009558490215013,0.08460185615260561,0.009139547921889783,100,55,2.0,5,5,0.5416792768845717,"[np.int64(22), np.int64(27), np.int64(13), np.int64(11), np.int64(27)]"
5,0.8971624415129434,0.1340330998163685,0.00738481385353827,100,64,1.0,5,5,0.5957269109333289,"[np.int64(38), np.int64(19), np.int64(9), np.int64(5), np.int64(29)]"
6,0.8795710634850079,0.15400116063246905,0.008273770505334871,100,58,2.0,4,5,0.6272499264260747,"[np.int64(27), np.int64(13), np.int64(10), np.int64(22), np.int64(28)]"
7,0.8807444504519111,0.16925793497354236,0.007174173533095335,100,64,1.0,4,5,0.7084881539580344,"[np.int64(28), np.int64(11), np.int64(34), np.int64(12), np.int64(15)]"
8,0.8618399360242854,0.18776584808136668,0.008097800229948769,100,66,1.0,5,5,0.7426785040427524,"[np.int64(41), np.int64(18), np.int64(19), np.int64(12), np.int64(10)]"
9,0.8402990099453131,0.2195813688394625,0.008056684651050878,100,64,1.0,3,5,0.8349097384933161,"[np.int64(19), np.int64(35), np.int64(18), np.int64(14), np.int64(14)]"
10,0.8154977646045283,0.25245649611482657,0.007948256585207453,100,65,1.0,5,5,0.8853200821961109,"[np.int64(41), np.int64(16), np.int64(18), np.int64(14), np.int64(11)]"
11,0.8047412972196498,0.2773883363111724,0.006653421518451888,100,63,1.0,5,5,0.9451311412985376,"[np.int64(12), np.int64(44), np.int64(22), np.int64(15), np.int64(7)]"
12,0.8161437356621463,0.26128428864130343,0.007170199610407618,100,64,1.0,4,5,0.9683814206417023,"[np.int64(28), np.int64(21), np.int64(28), np.int64(18), np.int64(5)]"
13,0.8131552933396293,0.2745768207632906,0.0060783872733678355,100,63,1.0,4,5,1.0,"[np.int64(34), np.int64(28), np.int64(21), np.int64(14), np.int64(3)]"
14,0.8079849322139719,0.282106404936951,0.005887748223535156,100,60,1.0,4,5,0.99,"[np.int64(33), np.int64(37), np.int64(16), np.int64(13), np.int64(1)]"
15,0.7898553728256745,0.2984634260674616,0.0063399810430380885,100,64,1.0,5,5,1.0,"[np.int64(30), np.int64(37), np.int64(18), np.int64(12), np.int64(3)]"
16,0.7771033565589606,0.3214437688065226,0.0051144873650927365,100,62,1.0,6,5,1.0,"[np.int64(33), np.int64(39), np.int64(17), np.int64(7), np.int64(4)]"
17,0.7789189526375858,0.32791240215111056,0.0038713559679553313,100,64,1.0,4,5,1.0,"[np.int64(43), np.int64(45), np.int64(6), np.int64(3), np.int64(3)]"
18,0.7470405288599052,0.3579347006767624,0.003910100681133828,100,60,1.5,3,5,1.0,"[np.int64(54), np.int64(34), np.int64(6), np.int64(3), np.int64(3)]"
19,0.7425104327375881,0.3667522937521598,0.0031875901947773476,100,61,1.0,4,4,0.99,"[np.int64(49), np.int64(46), np.int64(4), np.int64(1)]"
20,0.7264185979091033,0.3809929557443722,0.0032075687143939087,100,62,1.0,4,4,0.99,"[np.int64(51), np.int64(46), np.int64(1), np.int64(2)]"
21,0.7078671280875255,0.39933048904120744,0.0030270647913409666,100,63,1.0,4,4,0.99,"[np.int64(60), np.int64(35), np.int64(1), np.int64(4)]"
22,0.6847883887752964,0.4202226051510682,0.002816009535866285,100,61,1.0,4,3,0.99,"[np.int64(57), np.int64(42), np.int64(1)]"
23,0.6474592874112145,0.4522625849202864,0.002848351569747818,100,62,1.0,4,3,0.99,"[np.int64(44), np.int64(55), np.int64(1)]"
24,0.6253777479193346,0.4710165096152447,0.002838954221105688,100,63,1.0,4,2,0.9952483131535166,"[np.int64(54), np.int64(46)]"
25,0.6141474087882828,0.48129752322543146,0.00268844280181004,100,64,1.0,4,2,0.9952483131535168,"[np.int64(62), np.int64(38)]"
26,0.5916765002764981,0.5009255744743663,0.00256022587750729,100,57,2.0,5,2,0.9952483131535166,"[np.int64(66), np.int64(34)]"
27,0.5630209511984293,0.5250931927604467,0.0025795627090023344,100,61,1.0,4,3,1.0,"[np.int64(36), np.int64(60), np.int64(4)]"
28,0.5356796160476945,0.5480279532718356,0.0026599794814327073,100,67,1.0,3,2,0.9956119127388383,"[np.int64(38), np.int64(62)]"
29,0.5179577245533822,0.5647440990427265,0.0022688408656815423,100,59,1.0,4,3,1.0,"[np.int64(69), np.int64(28), np.int64(3)]"
30,0.4975484899455309,0.5838248143117928,0.0018672940870676624,100,64,1.0,5,4,1.0,"[np.int64(69), np.int64(21), np.int64(8), np.int64(2)]"
31,0.47388461489605743,0.6048392466171261,0.0017375991827314919,100,59,1.0,5,3,1.0,"[np.int64(19), np.int64(78), np.int64(3)]"
32,0.45303580217462147,0.6254174377776986,0.0011005248088491943,100,60,1.0,4,4,1.0,"[np.int64(80), np.int64(10), np.int64(5), np.int64(5)]"
33,0.4280972902734375,0.6479262302272302,0.001028154550889516,100,62,1.0,4,4,1.0,"[np.int64(77), np.int64(9), np.int64(6), np.int64(8)]"
34,0.4070982653688733,0.6683195591648241,0.0006367228628457353,100,54,1.5,7,4,1.0,"[np.int64(80), np.int64(5), np.int64(4), np.int64(11)]"
35,0.3848803947973129,0.6894116502923832,0.0005022394399756887,100,66,1.0,4,4,1.0,"[np.int64(84), np.int64(4), np.int64(2), np.int64(10)]"
36,0.36508784729242655,0.7096511792552986,4.957284572527781e-05,100,65,1.0,4,3,0.99,"[np.int64(93), np.int64(6), np.int64(1)]"
37,0.34099215582793635,0.7331115151755238,0.00013379089918453532,100,59,1.0,5,3,1.0,"[np.int64(90), np.int64(5), np.int64(5)]"
38,0.31834371865476285,0.7560794733601671,0.00018649868145107176,100,61,1.0,5,3,1.0,"[np.int64(90), np.int64(8), np.int64(2)]"
39,0.29761785605233854,0.7780669170035717,0.00016911247760982408,100,68,1.0,4,3,1.0,"[np.int64(90), np.int64(7), np.int64(3)]"
40,0.27640773700812615,0.801359430737018,0.00022837257739033939,100,64,1.0,5,3,1.0,"[np.int64(87), np.int64(10), np.int64(3)]"
41,0.2586961332363567,0.8219579688839465,0.00013051907054275016,100,61,1.0,5,3,1.0,"[np.int64(91), np.int64(5), np.int64(4)]"
42,0.24115820375994715,0.8431666792084136,6.450367269618645e-05,100,68,1.0,5,3,1.0,"[np.int64(4), np.int64(94), np.int64(2)]"
43,0.2242650849333442,0.8645367971464905,9.20839732871948e-06,100,68,1.0,4,2,1.0,"[np.int64(98), np.int64(2)]"
44,0.20760463612642885,0.8866001905944433,6.432756477530273e-33,100,64,1.0,5,1,,[100]
45,0.20144153724789862,0.8950575616743995,6.442235663975304e-33,100,67,1.0,4,1,,[100]
