generation,distance_to_optimum
0,0.07049235810776461
1,0.08164872325128524
2,0.09349820179171664
3,0.08418708032390526
4,0.08962531684961132
5,0.10732460349710372
6,0.19580747270770843
7,0.24047416832794635
8,0.2721356622410607
9,0.28677641826138606
10,0.30835329165321135
11,0.30807819108034923
12,0.3051080292001515
13,0.3295883662118436
14,0.35829478919670765
15,0.3770843007157256
16,0.38926827704250294
17,0.3903015985127638
18,0.40074013974180156
19,0.4113340863715334
20,0.4666578041948397
21,0.5057806475170132
22,0.53696624748046
23,0.525080452761734
24,0.5713270770206043
25,0.5847540821053702
26,0.602999567633279
27,0.638572146971011
28,0.6602384939786359
29,0.6565691983731514
30,0.6666957316304714
31,0.6615602532953738
32,0.7049234628204487
33,0.7380818614260126
34,0.7648828849246145
35,0.7555161574594214
36,0.7516492390668628
37,0.7837961537640488
38,0.8130513185262248
39,0.8256084445513185
40,0.8060083602906801
41,0.822689790965364
42,0.8477630802288326
43,0.8479075481601229
44,0.8401384147959305
45,0.8584012242356498
46,0.8801651534471001
47,0.9251355903836591
48,0.9391617073568524
49,0.958716300274437
50,0.9779576000469204
51,1.0028986631132204
52,1.020716049557056
53,1.056420166700653
54,1.044736391421496
55,1.0644982107241592
56,1.080291008520445
57,1.1080742881389016
58,1.1461685674323578
59,1.169303449176379
60,1.171410922650663
61,1.1885697704405678
62,1.1994148790566077
63,1.2244360462821438
64,1.2379560713145836
65,1.2585157509865168
66,1.279431447555545
67,1.305255954479502
68,1.3254715747493249
69,1.3468071739424847
70,1.3702875216247739
71,1.392447045566279
72,1.4139814197399392
73,1.4409228102439429
74,1.467921931265432
75,1.4830130810393458
76,1.508593852020484
77,1.531971541455668
78,1.5491361980592733
79,1.5684464005784888
80,1.588175817520256
81,1.6104341896192733
82,1.6295655876195052
83,1.6536424722347502
84,1.6736122797519208
85,1.6975425265548056
86,1.7165702033147374
87,1.738107637401391
88,1.7588045497386375
89,1.7768437713387237
90,1.7942984174524719
91,1.813747694957668
92,1.8268667329907131
93,1.8491643908847273
94,1.865554199889148
95,1.8860743998222003
96,1.9063600654657018
97,1.9307790686184896
98,1.9527802443341364
99,1.9677911452996522
